pub_date;newspaper;id;file;Code
03.03.2012;Usinger Anzeiger;ID-92;FILE-39;Eher negativ
09.03.2012;Aachener Nachrichten;ID-63;FILE-40;Sehr negativ
04.01.2012;Wiesbadener Tagblatt;ID-39;FILE-41;Eher positiv
05.01.2012;NA;ID-20;FILE-42;Eher negativ
27.01.2012;Die Welt;ID-96;FILE-43;Neutral
28.12.2011;NA;ID-89;FILE-44;Eher negativ
13.01.2012;Aachener Nachrichten;ID-33;FILE-45;Neutral
15.02.2012;Allgemeine Zeitung;ID-73;FILE-46;Eher negativ
22.12.2011;Wiesbadener Kurier;ID-66;FILE-47;Neutral
20.01.2012;Giessener Anzeiger;ID-46;FILE-48;Eher negativ
04.01.2012;NA;ID-56;FILE-49;Sehr negativ
22.12.2011;Die Presse;ID-41;FILE-50;Eher negativ
20.02.2012;NA;ID-58;FILE-51;Sehr positiv
22.12.2011;NA;ID-29;FILE-52;Eher positiv
19.01.2012;Berliner Zeitung;ID-94;FILE-53;Eher negativ
21.01.2012;Berliner Zeitung;ID-16;FILE-54;Eher negativ
07.03.2012;Allgemeine Zeitung;ID-99;FILE-55;Eher negativ
23.12.2011;Rheinische Post;ID-75;FILE-56;Eher negativ
21.02.2012;NA;ID-82;FILE-57;Eher negativ
30.01.2012;NA;ID-59;FILE-58;Eher negativ
03.02.2012;WELT ONLINE;ID-70;FILE-59;Neutral
17.02.2012;Agence France;ID-34;FILE-60;Neutral
07.03.2012;Berliner Zeitung;ID-1;FILE-61;Neutral
05.01.2012;Die Presse;ID-19;FILE-62;Eher negativ
26.11.2011;Aachener Zeitung;ID-7;FILE-63;Eher positiv
02.02.2012;NA;ID-10;FILE-64;Neutral
18.04.2012;NA;ID-90;FILE-65;Neutral
16.12.2011;Die Welt;ID-91;FILE-66;Neutral
01.03.2012;NA;ID-48;FILE-67;Eher negativ
09.01.2012;Frankfurter Rundschau;ID-11;FILE-68;Eher negativ
17.12.2011;NA;ID-62;FILE-69;Neutral
03.02.2012;Rheinische Post;ID-61;FILE-70;Neutral
10.01.2012;Spiegel Online;ID-78;FILE-71;Neutral
18.02.2012;NA;ID-71;FILE-72;Neutral
18.12.2011;NA;ID-13;FILE-73;Neutral
12.01.2012;Berliner Zeitung;ID-69;FILE-74;Eher negativ
21.03.2012;NA;ID-17;FILE-75;Neutral
17.12.2011;Wiesbadener Tagblatt;ID-12;FILE-76;Sehr negativ
05.03.2012;Aachener Nachrichten;ID-85;FILE-77;Neutral
15.02.2012;Agence France;ID-79;FILE-78;Eher negativ
04.01.2012;Spiegel Online;ID-3;FILE-79;Eher negativ
10.01.2012;NA;ID-44;FILE-80;Neutral
03.02.2012;Frankfurter Rundschau;ID-22;FILE-81;Eher negativ
19.12.2011;Aachener Zeitung;ID-55;FILE-82;Eher negativ
20.02.2012;Aachener Zeitung;ID-76;FILE-83;Neutral
20.01.2012;NA;ID-54;FILE-84;Sehr positiv
06.01.2012;Idsteiner Zeitung;ID-77;FILE-85;Neutral
29.01.2012;Berliner Kurier;ID-88;FILE-86;Eher negativ
07.01.2012;NA;ID-31;FILE-87;Eher negativ
12.01.2012;NA;ID-86;FILE-88;Neutral
07.03.2012;Stuttgarter Zeitung;ID-28;FILE-89;Eher negativ
17.10.2011;Agence France;ID-100;FILE-90;Neutral
01.03.2012;Giessener Anzeiger;ID-84;FILE-91;Neutral
05.01.2012;Welt Aktuell;ID-64;FILE-92;Neutral
17.11.2011;Wiesbadener Tagblatt;ID-45;FILE-93;Sehr positiv
09.01.2012;Frankfurter Rundschau;ID-42;FILE-94;Eher negativ
21.01.2012;Der Tagesspiegel;ID-52;FILE-95;Neutral
06.01.2012;Usinger Anzeiger;ID-65;FILE-96;Neutral
15.11.2011;Agence France;ID-4;FILE-97;Neutral
16.04.2012;NA;ID-80;FILE-98;Sehr negativ
09.02.2012;Frankfurter Rundschau;ID-18;FILE-99;Sehr negativ
11.02.2012;Der Tagesspiegel;ID-67;FILE-100;Neutral
