doc_id;twitter_username;twitter_available;twitter_created_at;twitter_full_text;twitter_retweet_count;twitter_favorite_count;twitter_followers_count;twitter_location;twitter_word_count;twitter_year;twitter_month;twitter_week;twitter_time_index_month;twitter_time_index_week;twitter_emojis;twitter_hashtags;twitter_tags;label;topic
ABaerbock15587025001;ABaerbock;TRUE;2019-05-24T12:55:00Z;Danke Fridays For Future. Das ist die groesste Klimabewegung aller Zeiten. Jung und Alt in ueber 300 Staedten Deutschlands auf der Strasse. Klima Wahl Vote For Climate Europawahl2019 Klimaschutz Jugend Aendert Europa;92;659;107693;Brandenburg;26;2019;5;21;21;89;;#FridaysForFuture|#KlimaWahl|#VoteForClimate|#Europawahl2019|#Klimaschutz|#JugendAendertEuropa;;positive;Klimaaktivismus
ABaerbock15592071001;ABaerbock;TRUE;2019-05-30T09:05:00Z;Inferno in Idlib : Helfer, die mit Blut ueberstroemte Kinder aus den Truemmern ziehen, die Augen aufgerissen, der Blick starr vor Entsetzen. Die Welt hat uns aufgegeben. Eine Schande fuer uns alle.;299;680;107693;Brandenburg;32;2019;5;22;21;90;;#Idlib;;negative;Nahostpolitik
ABaerbock15823659601;ABaerbock;TRUE;2020-02-22T10:06:00Z;Say Their Names Wir trauern um Ferhat Uenver Mercedes Kierpacz Sedat Guerbuez Goekhan Gueltekin Hamza Kurtovi Kalojan W. Vili V. Pun Said N. Hashemi Ein neuntes Opfer die bei dem rassistischem Anschlag in Hanau aus ihrem Leben gerissen wurden. Ebenso seine Mutter, Frau Rathjen;90;507;107693;Brandenburg;42;2020;2;8;30;129;;#SayTheirNames|#Hanau;;negative;Terror
ABaerbock15840263401;ABaerbock;TRUE;2020-03-12T15:19:00Z;Humanitaet und Ordnung: Das bedingt einander. Das sehen wir nicht nur auf Lesbos, das sehen wir ueberall an der griechisch-tuerkischen Grenze. Wer zentrale Grundrechte ausser Kraft setzt produziert Chaos, statt geordneter Verfahren. Griechenland Tuerkei;61;374;107693;Brandenburg;35;2020;3;11;31;132;;#Lesbos|#Griechenland|#Tuerkei;;negative;Fluechtlingshilfe
ABaerbock15944555401;ABaerbock;TRUE;2020-07-11T08:19:00Z;Erinnerung an Srebrenica - kaum zu ertragen. Ein Voelkermord mitten in Europa, jahrelange Verbrechen gegen die Menschlichkeit, ethnische Saeuberung, Vergewaltigung als Kriegswaffe ... Srebrenica25Years On Mahnung fuer uns alle.;83;405;107693;Brandenburg;27;2020;7;28;35;149;;#Srebrenica|#Srebrenica25YearsOn;;negative;Terror
ABaerbock15984426601;ABaerbock;TRUE;2020-08-26T11:51:00Z;Es ist unwuerdig, dass die Gro Ko seit 2013 bei der Wahlrechtsreform nichts hinbekommen hat und auf den letzten Metern eine Scheinloesung vorlegt. Es schadet demokratischer Politik, wenn fuer eigene Vorteile kaempfen anstatt im Gesamtinteresse des Landes zu handeln.;90;807;94139;Brandenburg;39;2020;8;35;36;156;;#GroKo|#Wahlrechtsreform;@cducsubt;negative;Wahlrechtsreform
ABaerbock16050957001;ABaerbock;TRUE;2020-11-11T11:55:00Z;Unglaubliche Strafrechtsverschaerfungen in Belarus , um friedliche Demonstranten zu inhaftieren und im wahrsten Sinne des Wortes mundtot zu machen. Die EU muss auf allen Ebenen aktiv werden - gerade auch ggue dem Kreml, d diese massiven Menschenrechtsverletzungen stuetzt.;38;197;107693;Brandenburg;37;2020;11;46;39;167;;#Belarus;;negative;Belarus
ABaerbock16060596601;ABaerbock;TRUE;2020-11-22T15:41:00Z;Stolz wie Bolle auf unser neues Grundsatzprogramm. Leidenschaftliche Debatten mit Herz Verstand - so haben wir unser Wertefundament fuer das naechste Jahrzehnt geschaffen. Was fuer eine Arbeit von so vielen. Danke, dass wir gemeinsam diesen Parteitag digital gewagt haben. dbdk20;82;1054;107693;Brandenburg;41;2020;11;47;39;168;;#dbdk20;;positive;Parteipolitik
A_Gloeckner15707925601;A_Gloeckner;TRUE;2019-10-11T11:16:00Z;Es ist die richtige Entscheidung Abiy Ahmed mit dem Friedensnobelpreis auszuzeichnen. Er hat es geschafft Voelker zu versoehnen und damit einen wichtigen Beitrag fuer Weltfriede und Humanitaet geleistet. aethiopien hungersnotbekaempfen Friedensnobelpreis;0;3;1059;Südwestpfalz, Rheinland-Pfalz;32;2019;10;41;26;109;;#aethiopien|#hungersnotbekaempfen|#Friedensnobelpreis;;positive;Friedensnobelpreis
A_Gloeckner15806468401;A_Gloeckner;TRUE;2020-02-02T12:34:00Z;Heute in Bruessel mit meinen spd KollegInnen im Europa-Ausschuss auf Einladung der FES. Wie machen wir die EU stark, um die vor uns liegenden Aufgaben zu loesen. sozialeungleichheit, Digitalisierung sozialvertraeglichen Klimaschutz;0;0;1059;Südwestpfalz, Rheinland-Pfalz;30;2020;2;5;30;126;;#spd|#FES|#EU|#sozialeungleichheit|#Digitalisierung|#sozialvertraeglichenKlimaschutz;;positive;EU
AfDNbg15520306201;AfDNbg;TRUE;2019-03-08T07:37:00Z;Malys neuerliche Behauptung, dass Nuernbergs Sicherheit besser geworden sei, ist unglaubwuerdig. Die zunehmende Anzahl an Wohlstandssuchenden werden wohl kaum zu Heiligen mutiert sein. Fluechtlinge Migranten;0;0;1630;Nürnberg, Bayern;26;2019;3;10;19;78;;#Wohlstandssuchenden|#Fluechtlinge|#Migranten;;negative;Asyltourismus
AfDNbg15571536601;AfDNbg;TRUE;2019-05-06T14:41:00Z;Die Industrie ist da nun nicht ganz zu verstehen. Vor 3 Jahren hat die noch Refugees Welcome gerufen und heute beschwert die sich, dass kein Geld fuer Investitionen da ist. Nee, nee wo soll das noch hinfuehren.;0;1;1630;Nürnberg, Bayern;39;2019;5;19;21;87;😕;;;negative;Asyltourismus
AfDNbg15600773401;AfDNbg;TRUE;2019-06-09T10:49:00Z;Und ARD soll wirklich noch mehr Geld bekommen??? GEZ Ich verrate ihnen was. Der Qualitaetsmangel bei den GEZ Medien liegt nicht am Geld, sondern am Personal. Nein, lassen Sie es stecken, kostet nichts.;0;1;1630;Nürnberg, Bayern;34;2019;6;23;22;91;;#ARD|#GEZ|#GEZ;@tagesthemen;negative;Medien
AfDNbg15620442601;AfDNbg;TRUE;2019-07-02T05:11:00Z;Ja es ist schon ein Graus fuer den Spiegel. Es will einfach nicht klappen, die AfD bleibt konservative. Der Spiegel sollte sich langsam Mal Gedanken machen, warum seine Verkaufszahlen in den Keller fallen. Mit diesem Gesinnungsjournalismus ist bald kein Brot mehr zuverdienen.;0;2;1644;Nürnberg, Bayern;43;2019;7;27;23;95;;#AfD;;negative;Medien
AndiScheuer15132417001;AndiScheuer;TRUE;2017-12-14T08:55:00Z;Es kann nicht sein, dass in Deutschland mehr Asylantraege gestellt werden als in allen anderen EU-Laendern zusammen. Die EU muss bei der Loesung der weltweiten Fluechtlingskrise solidarisch sein und endlich Antworten liefern.;52;269;59399;Passau / Berlin;32;2017;12;50;4;12;;;;negative;Fluechtlingshilfe
AndiScheuer15762255601;AndiScheuer;TRUE;2019-12-13T08:26:00Z;Klimaschutz sorgt fuer neue Arbeitsplaetze in den Regionen. Regionalbusse, Lkw, Gabelstapler Autos tanken u.a. in Landshut bald Wasserstoff rein aus erneuerbaren Energien - vor Ort hergestellt! Herzlichen Glueckwunsch an alle 16 H2-Regionen in Deutschland. Hy Land Hy Bayern;5;32;59399;Passau / Berlin;37;2019;12;50;28;118;;#Klimaschutz|#Landshut|#Wasserstoff|#H2|#HyLand|#HyBayern;;positive;Klimaschutz
AndreasBleckMdB15108463801;AndreasBleckMdB;TRUE;2017-11-16T15:33:00Z;Peinlich fuer die Gruenen: Einige dieser Staaten, die den Kohleausstieg wollen, setzen auf die Kernenergie. Entscheidet euch endlich! Ein gleichzeitiger Ausstieg aus der fossilen Energie und Kernenergie ist auf absehbare Zeit nicht moeglich!;38;108;3253;Neuwied, Deutschland;34;2017;11;46;3;8;;#Kohleausstieg;;negative;Gruene
AndreasBleckMdB15163475401;AndreasBleckMdB;TRUE;2018-01-19T07:39:00Z;Die CDU/CSU-Fraktion praesentiert sich mit ihrem Antrag zur Aenderung des Aufenthaltsgesetzes als Loesung des Problems Fluechtlingskrise. Ein Problem, dass es ohne CDU und CSU gar nicht gegeben haette!;35;145;3253;Neuwied, Deutschland;29;2018;1;3;5;18;;#CDU|#CSU;;negative;Zuwanderung
AndreasBleckMdB15228248401;AndreasBleckMdB;TRUE;2018-04-04T06:54:00Z;Die Anzahl der Salafisten in Deutschland waechst zurzeit exponentiell, die Personalkapazitaeten des Verfassungsschutzes nur linear. Es ist eine Frage von Zeit, bis die Beobachtung nicht mehr zu gewaehrleisten ist. Salafisten Verfassungsschutz;2;12;3253;Neuwied, Deutschland;32;2018;4;14;8;29;;#Salafisten|#Verfassungsschutz;;negative;Verfassungsschutz
AndreasBleckMdB15278290801;AndreasBleckMdB;TRUE;2018-06-01T04:58:00Z;Verstaerkte Grenzkontrollen werte ich als einen Schritt in die richtige Richtung! Die AfD setzt sich mit aller Kraft fuer permanente Grenzkontrollen ein!;38;140;3076;Neuwied, Deutschland;23;2018;6;22;10;37;;#Grenzkontrollen|#AfD;;positive;Grenzkontrollen
AndreasBleckMdB15332866801;AndreasBleckMdB;TRUE;2018-08-03T08:58:00Z;Mit Merkel den CSU-Wahlkampf zu bestreiten, ist wie mit dem Schwarzen Peter zu trumpfen. Die CSU laesst wirklich keine Gelegenheit aus, ihre Unglaubwuerdigkeit offen zur Schau zu stellen. Weiter so!;2;9;3076;Neuwied, Deutschland;31;2018;8;31;12;46;;#Merkel|#CSU;;negative;Merkel
AndreasBleckMdB15332866802;AndreasBleckMdB;TRUE;2018-08-03T08:58:00Z;Mit Merkel den CSU-Wahlkampf zu bestreiten, ist wie mit dem Schwarzen Peter zu trumpfen. Die CSU laesst wirklich keine Gelegenheit aus, ihre Unglaubwuerdigkeit offen zur Schau zu stellen. Weiter so!;2;9;3253;Neuwied, Deutschland;31;2018;8;31;12;46;;#Merkel|#CSU;;negative;Merkel
AndrejHunko15265571401;AndrejHunko;TRUE;2018-05-17T11:39:00Z;Uebrigens: Die USA sanktionieren die EU-Energiebeziehungen zu Russland und Iran, dafuer bieten die EU-Staatschefs ihnen gestern in Sofia an, dass die USA einfacher US-Fracking LNG in die EU importieren koennen... nicht zu fassen.;14;7;9259;Germany;34;2018;5;20;9;35;;#USA|#Russland|#Iran|#Fracking|#LNG;;negative;Energiepolitik
AndrejHunko15300965401;AndrejHunko;TRUE;2018-06-27T10:49:00Z;Der Bundesinnenminister nennt private Seenotretter Shuttle zwischen Libyen und Suedeuropa. Das ist Identitaeren-Sprech und soll die neue rechte Achse Rom-Wien-Berlin zementieren. Der Mann gehoert sofort von Bord! Lifeline;26;52;9259;Germany;31;2018;6;26;10;41;;#Lifeline;@BMI_Bund|@Seenotrettung;negative;Fluechtlingshilfe
AndrejHunko15320817601;AndrejHunko;TRUE;2018-07-20T10:16:00Z;Es ist sehr erfreulich, dass der irrsinnige Haftbefehl gegen Carles Puigdemont endlich aufgehoben wurde. Wir haben von Anfang an eine politische Loesung in diesem Konflikt gefordert, der nicht mit dem Mitteln des Strafrechts zu loesen ist.;539;911;9259;Germany;37;2018;7;29;11;44;;#Puigdemont;;positive;Puigdemont
AndrejHunko15426328201;AndrejHunko;TRUE;2018-11-19T13:07:00Z;Eine harte Haltung in Bruessel fuehrt auch dazu, dass ein No-Deal-Szenario droht. Meine PM zum EU-Ministerrates zum Brexit: Eine verantwortungsvolle EU-Politik wuerde die Zeit bis Dezember nutzen, um nachzuverhandeln und offene Punkte zu klaeren.;3;7;9259;Germany;35;2018;11;47;15;62;;#EU|#Brexit;;negative;Brexit
AndrejHunko15526557601;AndrejHunko;TRUE;2019-03-15T13:16:00Z;Zynismus pur: Bundesregierung redet unablaessig von humanitaerer Krise in Venezuela, aber beim US-Erdoelembargo sieht sie offenbar keine Probleme. Es duerfte die Krise massiv verschaerfen, da Venezuela fast komplett von Oelexport abhaengt. Sanktionen;10;20;9259;Germany;33;2019;3;11;19;79;;#Venezuela|#Sanktionen;;negative;Lateinamerika
AndrejHunko15529038001;AndrejHunko;TRUE;2019-03-18T10:10:00Z;Die EU schiebt niemals Gefluechtete nach Libyen zurueck, schreibt die Dieser Faktencheck ist nicht einmal die halbe Wahrheit. Man bildet mit der libyschen Kuestenwache und Seepolizei Handlanger aus, um diese Drecksarbeit zu erledigen.;1;2;9259;Germany;36;2019;3;12;19;80;;#Libyen;@EU_Commission:;negative;Fluechtlingshilfe
AndrejHunko15662928601;AndrejHunko;TRUE;2019-08-20T09:21:00Z;Ich kritisiere das laute Schweigen der Bundesregierung zu den offensichtlichen negativen Auswirkungen der US-Wirtschaftssanktionen gegen Venezuela. Die Nicht-Antwort der Bundesregierung auf die Kleine Anfrage findet sich hier:;9;11;9259;Germany;29;2019;8;34;24;102;;#Venezuela;;negative;Lateinamerika
AndrejHunko15688826401;AndrejHunko;TRUE;2019-09-19T08:44:00Z;Im Gegensatz zu dem Transitmechanismus nach Niger sollen die nach Ruanda gebrachten Gefluechteten anschliessend in ihr Heimatland zurueckkehren. Fuer Viele bedeutet das eine Rueckkehr in Unterdrueckung, Verfolgung und Armut.;0;0;9259;Germany;30;2019;9;38;25;106;;;;negative;Zuwanderung
AndrejHunko15731104801;AndrejHunko;TRUE;2019-11-07T07:08:00Z;Neues von der Skandaldrohne Euro Hawk: Nachdem Kanada Verhandlungen beendete, kaufte die NATO Ersatzteile aus der Resterampe: Jetzt ueberlegt die US-Luftwaffe, den Flieger nebst Bodenstation zu erwerben. Beides hat nur Schrottwert, der Verlust ist immens.;2;1;9259;Germany;35;2019;11;45;27;113;;#EuroHawk;;negative;Ruestung
AndrejHunko15833972401;AndrejHunko;TRUE;2020-03-05T08:34:00Z;Tatsaechlich geht es in Sea Guardian um anderes: Die Tuerkei moege bei Nebenaufgabe helfen und Migrantenschmuggel in die EU verhindern. Erdogan soll also seine Grenzoeffnung im Rahmen der NATO zuruecknehmen. Das ist vermutlich genauso dumme Idee wie Mithilfe bei Waffenembargo.;4;5;9259;Germany;40;2020;3;10;31;131;;#SeaGuardian;;negative;Tuerkei
AndrejHunko15861703201;AndrejHunko;TRUE;2020-04-06T10:52:00Z;Die neoliberalen Kuerzungsauflagen der EU sind eine Ursache dafuer, dass die Gesundheitssysteme aktuell von Ueberlastung bedroht sind. Eine Lehre aus der Coronakrise muss sein, dass wir ein bedarfsorientiertes und solide finanziertes oeffentliches (!) Gesundheitssystem brauchen!;11;25;9259;Germany;35;2020;4;14;32;135;;#Coronakrise;;negative;Gesundheitssystem
AndrejHunko15922971601;AndrejHunko;TRUE;2020-06-16T08:46:00Z;Informationen aus Kampfgebieten fuer eine wirksame Grenzkontrolle? Die heutigen EU-Ratsschlussfolgerungen zur Bekaempfung von Terrorismus und Gewaltextremismus sind gefaehrlich, denn sie fordern noch mehr Zusammenarbeit von Militaer mit Polizei Justiz:;4;7;9259;Germany;31;2020;6;25;34;146;;;;negative;Nahostpolitik
AndrejHunko15929832001;AndrejHunko;TRUE;2020-06-24T07:20:00Z;Ueberfaellig ist auch der Beitritt der EU zur Europaeischen Menschrechtskonvention, zu dem der Lissabon Vertrag verpflichtet. Eine EU, die nicht einmal den Strassburger Menschenrechtsgerichtshof anerkennt, ist aussenpolitisch unglaubwuerdig.;1;3;9259;Germany;27;2020;6;26;34;147;;#LissabonVertrag;;negative;Menschenrechte
AndrejHunko15935902201;AndrejHunko;TRUE;2020-07-01T07:57:00Z;In Slowenien wurde der Wirtschaftsminister verhaftet, aus Protest dagegen traten der Innenminister und der Polizeichef zurueck: Deren Rechtsregierung straeubt sich gegen Korruptionsermittlungen zum Kauf von Corona-Schutzausruestung.;1;2;9259;Germany;27;2020;7;27;35;148;;#Slowenien|#Corona;;positive;Slowenien
AndrejHunko16018936801;AndrejHunko;TRUE;2020-10-05T10:28:00Z;Die Befuerworter von Kampfdrohnen meinen, diese seien bereits in 40 Staaten so weit verbreitet, dass auch Deutschland diesem Kreis beitreten MUSS, um Verbreitung und Einsatz der Killerwaffen mit internationalen Konventionen glaubwuerdig zu reglementieren. Hanebuechenes Argument!;15;19;9259;Germany;36;2020;10;40;38;161;;#Kampfdrohnen|#Killerwaffen;;negative;Ruestung
AndrejHunko16035724801;AndrejHunko;TRUE;2020-10-24T20:48:00Z;In der Tat ein Meilenstein: Soeben hat mit Honduras der 50. Staat den Atomwaffenverbotsvertrag ratifiziert. Damit tritt der Vertrag in 90 Tagen, am 22. Januar, in Kraft. Ein wichtiger Schritt! Danke ICAN;12;49;9259;Germany;33;2020;10;43;38;164;;#Atomwaffenverbotsvertrag|#ICAN;;positive;Atomwaffenverbot
AndrejHunko16036801801;AndrejHunko;TRUE;2020-10-26T02:43:00Z;Gratulation nach Chile! Gut 78 fuer eine neue Verfassung. Damit duerften die dunklen Schatten der Pinochet-Aera endgueltig verschwinden. Was fuer ein beeindruckender gesellschaftlicher Prozess nach den Protesten gegen Fahrpreiserhoehungen der Metro vor 1 Jahr!;26;78;9259;Germany;36;2020;10;43;38;164;;#Chile;;positive;Lateinamerika
AnjaKarliczek15406450801;AnjaKarliczek;TRUE;2018-10-27T12:58:00Z;GB ist ein exzellenter Forschungspartner in der EU. Die Frage, wie eine weitere Zusammenarbeit in der Wissenschaft aussehen kann, koennen wir aber erst beantworten, wenn wir die Basis, auf der der Brexit erfolgt, kennen.;0;4;11540;Tecklenburg / Berlin;35;2018;10;43;14;58;;#GB|#EU|#Wissenschaft|#Brexit;@tagesschau;positive;Forschung
Axel_Fischer15343551001;Axel_Fischer;TRUE;2018-08-15T17:45:00Z;Das Urteil des Oberverwaltungsgerichts Muenster zum Fall Sami A. muss umgehend zu einer Pruefung der geltenden Rechtslage fuehren. Wenn nach geltendem Recht die Persoenlichkeitsrechte eines Gefaehrders hoeher zu wichten sind als unsere Sicherheitsinteressen, dann stimmt etwas nicht.;0;0;801;Berlin;37;2018;8;33;12;48;;;;negative;Sicherheit
Axel_Fischer15804864601;Axel_Fischer;TRUE;2020-01-31T16:01:00Z;Miteinander reden ist viel besser als uebereinander Reden. Im Gespraech mit dem tuerkischen Botschafter Ali Kemal Aydin. Die Tuerkei ist fuer uns ein wichtiger Partner. tuerkei Deutschland olavgutting;0;0;801;Berlin;30;2020;1;5;29;126;;#tuerkei|#Deutschland;@Axel_Fischer;positive;Tuerkei
Axel_Fischer15887776801;Axel_Fischer;TRUE;2020-05-06T15:08:00Z;Zwei Veranstaltungen parallel. Dank Videokonferenz moeglich. haushaelter der cducsu tagen in Berlin und gleichzeitig der CDU bezirksvorstand per video konferenz mit bundesminister peter_altmaier.pr;0;0;801;Berlin;24;2020;5;19;33;140;;#haushaelter|#cducsu|#Berlin|#CDU|#bezirksvorstand|#video|#konferenz|#bundesminister;;positive;Parteipolitik
Beatrix_vStorch15129987601;Beatrix_vStorch;TRUE;2017-12-11T13:26:00Z;Da sich nun de Maizire, Maas, Merkel und sogar ihr Reg.-sprecher gegen alle Arten von Antisemitismus ausgesprochen haben, werden wir jetzt deren Zitate ueberall im Staatsfunk finden. Merke: Nicht das Ereignis macht fuer den Staatsfunk die Nachricht, sondern wer es kommentiert.;112;299;61329;Berlin, Deutschland;42;2017;12;50;4;12;;#Merkel|#Staatsfunk;;negative;Medien
Beatrix_vStorch15148993201;Beatrix_vStorch;TRUE;2018-01-02T13:22:00Z;Ich glaube es hackt! BILD verdaechtigt in Gruppen anreisende Maennerhorden von Migranten pauschal als Sex-Mob. Nur weil diese Horden aggressiv u provokant waren u 1.330 Platzverweise erhielten. Ich distanziere mich. Die wollen nur spielen.;753;1919;61329;Berlin, Deutschland;36;2018;1;1;5;16;🙇;;;negative;Migrantenkriminalitaet
Beatrix_vStorch15155936401;Beatrix_vStorch;TRUE;2018-01-10T14:14:00Z;Die Altersfeststellung bei angeblich minderjaehrigen Fluechtlingen ist vernuenftig und dringend notwendig, denn sie kosten den deutschen Steuerzahler erheblich mehr Geld, erschweren den Schulbetrieb und werden milder bestraft bei Vergehen als Volljaehrige. AfD;244;744;61329;Berlin, Deutschland;33;2018;1;2;5;17;;#AfD;;negative;Migrantenkriminalitaet
Beatrix_vStorch15161895001;Beatrix_vStorch;TRUE;2018-01-17T11:45:00Z;Befragung der Bundesregierung. Ministerin weigert sich, die Fragesteller der AfD anzusehen. Schade. Und dann nennt sie die Kultur des Taeters von Kandel Macho-Kultur. Ich mache mir das jetzt mal NICHT zu eigen- sonst Aufschrei.;145;495;61329;Berlin, Deutschland;35;2018;1;3;5;18;;#Kandel|#Aufschrei;@katarinabarley;negative;AfD
Beatrix_vStorch15165267601;Beatrix_vStorch;TRUE;2018-01-21T09:26:00Z;Nachgereicht: Meine Frage an BReg, auf welcher rechtl Grundlage Fluechtlinge weiter nach einreisen. Nach dt Recht muessten alle zwingend an d Grenze abgewiesen werden. Die Antwort des Innenministers lautet uebersetzt:Wir sind kein souveraener Staat mehr.;309;595;61329;Berlin, Deutschland;37;2018;1;4;5;19;🇩🇪;;;negative;Grenzkontrollen
Beatrix_vStorch15178999201;Beatrix_vStorch;TRUE;2018-02-06T06:52:00Z;Ekelhaft: gierte nach 7.500 Euro zusaetzlicher Rente pro Jahr im Alter. Dafuer musste er aber das 6. Ministerjahr noch vollenden. Deswegen verlangte er Satzungsaenderung Amt Und Mandat Uebergangszeit . Verlogen Establishment So Sind Se;482;766;61329;Berlin, Deutschland;32;2018;2;6;6;21;;#Satzungsaenderung|#AmtUndMandat|#Uebergangszeit|#Verlogen|#Establishment|#SoSindSe;@RobertHabeck;negative;Regierung
Beatrix_vStorch15183424801;Beatrix_vStorch;TRUE;2018-02-11T09:48:00Z;50.000 Euro pro Jahr und Fall. Im Schnitt. Das ist skandaloes. Das ist ungerecht gegenueber deutschen Familien. Eine echte Frechheit. Das allein ist ein Grund, nie wieder CDU, CSU oder SPD oder eine der anderen Willkommensparteien zu waehlen. 50.000 !;282;656;61329;Berlin, Deutschland;42;2018;2;7;6;22;;;;negative;Asyltourismus
Beatrix_vStorch15189979801;Beatrix_vStorch;TRUE;2018-02-18T23:53:00Z;Die Antifa demonstriert gegen Gewalt? Diese linksextremistischen Steinewerfer und Brandsatzschleuderer sind die letzten, die legitim gegen Gewalt protestieren koennen. Wer legale Demos verhindert, ist ein Gegner der Demokratie. Da darf der Rechtsstaat ruhig hart durchgreifen.;186;558;61329;Berlin, Deutschland;36;2018;2;8;6;23;;#Antifa;;negative;Linksextremismus
Beatrix_vStorch15205759801;Beatrix_vStorch;TRUE;2018-03-09T06:13:00Z;Kein Problem, wenn Automobilindustrie den Bach runtergeht. Wir schulen die Arbeitnehmer einfach um auf die Asyl- u Integrationsindustrie: Sozialarbeiter, Sachbearbeiter im BAMF, Dolmetscher, Polizist, Richter oder so. Was Fuer Ein Irrwitz;240;590;61329;Berlin, Deutschland;29;2018;3;10;7;25;;#WasFuerEinIrrwitz;;negative;Asyltourismus
