last_name;first_name;wahlkreis_name;party;bundesland;unemployment_rate;share_pop_migration;username;followers_count;created_at;full_text;favorite_count;retweet_count;label
Lay;Caren;Bautzen I;linke;Sachsen;6.9;3.2;CarenLay;9763;2017-12-13T14:35:00Z;Die #AfD hat sich heute im #Bundestag als Opfer linksextremer Gewalt inszeniert. Doch die eigentlichen Brandstifter sitzen in ihren eigenen Reihen. Rassistische Gewalt ist die größte Bedrohung für unsere Demokratie. https://t.co/fhv30Jbpsc;195;68;negative
Scheuer;Andreas;Passau;cdu_csu;Bayern;4.2;12.7;AndiScheuer;59399;2017-12-14T08:55:00Z;Es kann nicht sein, dass in Deutschland mehr Asylanträge gestellt werden als in allen anderen EU-Ländern zusammen. Die EU muss bei der Lösung der weltweiten Flüchtlingskrise solidarisch sein und endlich Antworten liefern.;269;52;negative
Müller-Gemmeke;Beate;Reutlingen;gruene;Baden-Wuerttemberg;3.7;26;GrueneBeate;5357;2017-12-14T16:39:00Z;Die ganze Rede lesen – dann urteilen: Wir wollen auch einen höheren #Mindestlohn. Dafür gibt es aber im Bundestag keine Mehrheit.  Deshalb anderen Weg suchen und deshalb Wissenschaft in der Kommission stärken. Denn es gibt viele Gründe für eine Erhöhung. https://t.co/dXraSktX2S https://t.co/mV1zdtDCoX;3;0;positive
Komning;Enrico;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;afd;Mecklenburg-Vorpommern;11.7;3.3;EnricoKomning;2574;2017-12-15T14:58:00Z;"Die Grünen sind empört über einen Wasserwerfereinsatz?
Zur Erinnerung: Demokratiegegner haben versucht einen Parteitag einer demokratischen Partei zu verhindern.
Ich bin empört über das Demokratieverständnis der Grünen!
#Gruene #AfD #AfDBpt

https://t.co/7FwcchLrvK";173;55;negative
Maier;Jens;Dresden I;afd;Sachsen;7.1;7.3;JensMaierAfD;6108;2017-12-18T08:04:00Z;Fröhliche Selfies am Breitscheidplatz. 12 Tote, etliche Verletze und die Hinterbliebenen können nur fassungslos über den Geisteszustand dieser Kanzlerin sein. Das ist unwürdig. Es stimmt traurig und wütend. #Breitscheidplatz https://t.co/AkDxUQTWn4;8;3;negative
Beermann;Maik;Nienburg II – Schaumburg;cdu_csu;Niedersachsen;5.9;15.3;MaikBeermann;2683;2017-12-20T15:42:00Z;@Wissing das ist ja jetzt schon etwas dreist so etwas für sich in Anspruch zu nehmen. Wer selbst nicht mitregieren will, darf sich dann nicht wundern und sollte sich lieber etwas zurück halten. https://t.co/hNgNNHViFk;0;0;negative
Schielke-Ziesing;Ulrike;Mecklenburgische Seenplatte II – Landkreis Rostock III;afd;Mecklenburg-Vorpommern;10.2;2.6;ulschzi;1660;2018-01-02T12:42:00Z;"Alle zwei Jahre wieder das selbe Spiel - Gewerkschaften fordern, Arbeitgeber mauern und letztendlich kommt ein Tarifabschluss auf ungefähr dem Niveau der Inflation zustande!
https://t.co/tn3jrHW5Eu
#AfD";2;0;negative
Storch;Beatrix von;Berlin-Mitte;afd;Berlin;9.4;24.1;Beatrix_vStorch;61329;2018-01-02T13:22:00Z;Ich glaube es hackt! BILD verdächtigt in Gruppen anreisende Männerhorden von Migranten pauschal als „Sex-Mob“.  Nur weil diese Horden „aggressiv u provokant“ waren u 1.330 Platzverweise erhielten. Ich distanziere mich. Die wollen nur spielen. 🙇‍♀️ https://t.co/wuXpmtlrgR;1919;753;negative
Dağdelen;Sevim;Bochum I;linke;Nordrhein-Westfalen;9.9;23.5;SevimDagdelen;34257;2018-01-05T07:59:00Z;Einfach nur dreist: Während Ankara die Verfolgung der demokratischen Opposition  in der #Türkei intensiviert und den islamistischen Terror weiter unterstützt,  fordert der türkische Außenminister einen Neustart der deutsch-türkischen Beziehungen.  https://t.co/6t7eDY8Kut;59;38;negative
Haug;Jochen;Köln II;afd;Nordrhein-Westfalen;8.5;32.3;Jochen_Haug;3619;2018-01-10T13:42:00Z;Staat soll an Ausgabendisziplin arbeiten, statt Leistungsträger weiter zu schröpfen. Über die Hälfte eines Einkommens wird ohnehin geschluckt durch Abgaben und (in)direkte Steuern. Es reicht dicke! 🙌🏼 #AfD #Spitzensteuersatz @AfDimBundestag https://t.co/7jhgaqXm9G;70;25;negative
Storch;Beatrix von;Berlin-Mitte;afd;Berlin;9.4;24.1;Beatrix_vStorch;61329;2018-01-10T14:14:00Z;Die Altersfeststellung bei angeblich minderjährigen Flüchtlingen ist vernünftig und dringend notwendig, denn sie kosten den deutschen Steuerzahler erheblich mehr Geld, erschweren den Schulbetrieb und werden milder bestraft bei Vergehen als Volljährige. #AfD https://t.co/ax5amKIQv3;744;244;negative
Baerbock;Annalena;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;gruene;Brandenburg;6;6.3;ABaerbock;107693;2018-01-11T07:10:00Z;Habe mir das #GroKo-Sondierungspapier zu #Klima nochmal genau angeschaut. Krass: De facto wird sogar das Kyoto-Protokoll, der Meilenstein der #Klimadiplomatie für nichtig erklärt! Frau #Merkel, das geht so nicht! Nachbessern! #kohleausstieg https://t.co/tWIuwjAbUd;233;111;negative
Magnitz;Frank;Bremen II – Bremerhaven;afd;Bremen;11.1;26.4;Frank_Magnitz;1967;2018-01-15T08:46:00Z;"Die öffentlich-rechtliche Filterblasen schmieren sich gegenseitig Honig ums Maul. Die Abschaffung des #GEZ-Beitrags gibt es nur mit der #AFD. Setzen wir dem Staatsfunk ein Ende!  
https://t.co/9UsRvN5eSl";224;78;negative
Schwabe;Frank;Recklinghausen I;spd;Nordrhein-Westfalen;10.5;20.1;FrankSchwabe;6664;2018-01-16T14:00:00Z;@Nordkurier Und damit ist das Thema übrigens für Karin #Strenz auch noch nicht durch. Sie lässt weiterhin entscheidende Fragen unbeantwortet. Und letztlich hat sie durch ihre politische Tätigkeit mindestens 22.000 Euro aus #Aserbaidschan erhalten, die sie ja wohl auch nicht abgegeben hat.;0;2;negative
Storch;Beatrix von;Berlin-Mitte;afd;Berlin;9.4;24.1;Beatrix_vStorch;61329;2018-01-17T11:45:00Z;Befragung der Bundesregierung. Ministerin @katarinabarley weigert sich, die Fragesteller der AfD anzusehen. Schade. Und dann nennt sie die Kultur des Täters von #Kandel „Macho-Kultur.“ Ich mache mir das jetzt mal NICHT zu eigen- sonst #Aufschrei.;495;145;negative
Bleck;Andreas;Neuwied;afd;Rheinland-Pfalz;5.3;20.6;AndreasBleckMdB;3253;2018-01-19T07:39:00Z;"Die CDU/CSU-Fraktion präsentiert sich mit ihrem Antrag zur Änderung des Aufenthaltsgesetzes als Lösung des Problems """"""""Flüchtlingskrise"""""""". Ein Problem, dass es ohne #CDU und #CSU gar nicht gegeben hätte!";145;35;negative
Storch;Beatrix von;Berlin-Mitte;afd;Berlin;9.4;24.1;Beatrix_vStorch;61329;2018-01-21T09:26:00Z;Nachgereicht: Meine Frage an BReg, auf welcher rechtl Grundlage Flüchtlinge weiter nach 🇩🇪 einreisen. Nach dt Recht müssten alle zwingend an d Grenze abgewiesen werden. Die Antwort des Innenministers lautet übersetzt:Wir sind kein souveräner Staat mehr. https://t.co/MJz6DCiBth;595;309;negative
Brantner;Dr. Franziska;Heidelberg;gruene;Baden-Wuerttemberg;4.3;25.7;fbrantner;9773;2018-01-23T14:50:00Z;Ich freue mich sehr über die Wahl zur stellvertretenden Parlamentarischen Geschäftsführerin! #grueneKraftvoraus https://t.co/CV5BGBodbv;57;1;positive
Gastel;Matthias;Nürtingen;gruene;Baden-Wuerttemberg;3.5;27.1;MatthiasGastel;6477;2018-01-24T08:23:00Z;Die #CO2-Emissionen von Deutschland steigen weiter, vor allem im #Verkehr. Die neue #GroKo beginnt dort, wo die alte aufgehört hat: Klimapolitisches Nichtstun. Wird Zeit, dass Union und SPD endlich über #Klimaschutz und moderne #Mobilität verhandeln!;10;5;negative
Hänsel;Heike;Tübingen;linke;Baden-Wuerttemberg;3.1;22.4;HeikeHaensel;7921;2018-01-26T13:47:00Z;Es ist eine Schande, dass @wef Gründer Klaus Schwab, die Steuerreform von #Trump in den höchsten Tönen gelobt hat. Damit zeigt das #wef18 sein wahres Gesicht: Milliardengeschenke an Reiche u Konzerne auf Kosten der Allgemeinheit werden hier gefeiert u organisiert. WEF abschaffen! https://t.co/3m3YdVDG21;22;10;negative
Schwabe;Frank;Recklinghausen I;spd;Nordrhein-Westfalen;10.5;20.1;FrankSchwabe;6831;2018-02-03T09:35:00Z;@Oliver_Krischer Mal ganz ehrlich. Bei einer Regierungsbeteiligung der @Die_Gruenen hätte es keinen konkreten #Kohleausstieg, keinen #CO2-Mindestpreis, nicht mal ein #Klimaschutzgesetz gegeben. Und eine deutliche Erhöhung der Ausbauziele EE auch nicht. Oder? Vieles geht mit #CDU einfach nicht.;4;2;negative
Storch;Beatrix von;Berlin-Mitte;afd;Berlin;9.4;24.1;Beatrix_vStorch;61329;2018-02-06T06:52:00Z;Ekelhaft: @RobertHabeck gierte nach 7.500 Euro zusätzlicher Rente pro Jahr im Alter. Dafür musste er aber das 6. Ministerjahr noch vollenden. Deswegen verlangte er #Satzungsänderung #AmtUndMandat #Übergangszeit . #Verlogen #Establishment #SoSind’Se https://t.co/NQLGoqYUu4?amp=1;766;482;negative
Maier;Jens;Dresden I;afd;Sachsen;7.1;7.3;JensMaierAfD;6108;2018-02-07T07:34:00Z;Während Politiker der #Kartellparteien sich stets gut versorgen, die Nutznießer  der #Asylindustrie glänzende Geschäfte machen und Millionen #Glücksritter aus aller Welt ins Land geholt wurden, verarmt die eigene Bevölkerung immer mehr. Die Leidtragenden sind unsere #Kinder. #AfD https://t.co/z06O8Zw6Q2;48;29;negative
Gastel;Matthias;Nürtingen;gruene;Baden-Wuerttemberg;3.5;27.1;MatthiasGastel;6477;2018-02-07T10:00:00Z;#GroKo bremst weiter bei #Verkehrswende: Dringend notwendige Maßnahmen wie der Abbau der Dieselsubvention, die #blaueplakette und eine verursachergerechte Infrastruktur-Finanzierung werden aus Feigheit nicht angepackt. So wird der #Klimaschutz verraten!;19;8;negative
Münzenmaier;Sebastian;Mainz;afd;Rheinland-Pfalz;5.4;24;s_muenzenmaier;5719;2018-02-07T17:24:00Z;"#CDU opfert Ministerien + letzte Inhalte, völlige Selbstaufgabe für #angie

#SPD besiegelt Untergang und #baetschi soll Parteichefin werden!😀

Und wir? Bekommen kaum Luft vor Lachen und diskutieren, ob man Halbtote überhaupt noch #jagen muss!😉😀
#AfD
@AfDimBundestag
#GroKo";374;111;negative
Haug;Jochen;Köln II;afd;Nordrhein-Westfalen;8.5;32.3;Jochen_Haug;3619;2018-02-09T09:57:00Z;Stellungnahme zum #Koalitionsvertrag: Bei #Migration nur wohlklingende Soll-Vorschriften. Papier nicht wert , auf dem sie gedruckt sind. Entsprechend Verteilung der Ministerressorts setzt sich inhaltliche Entleerung der @CDU fort. #CDU #AfD @AfDimBundestag https://t.co/2dV8pWG7O2 https://t.co/2vtqMHPFsh;208;45;negative
Storch;Beatrix von;Berlin-Mitte;afd;Berlin;9.4;24.1;Beatrix_vStorch;61329;2018-02-11T09:48:00Z;"50.000 Euro pro Jahr und Fall. Im Schnitt. Das ist skandalös. Das ist ungerecht gegenüber deutschen Familien. Eine echte Frechheit. Das allein ist ein Grund, nie wieder CDU, CSU oder SPD oder eine der anderen Willkommensparteien zu wählen. 50.000 €! 

https://t.co/8l6PWPgyg1 https://t.co/XvYAttkUgV";656;282;negative
Maas;Heiko;Saarlouis;spd;Saarland;5.5;16.1;HeikoMaas;434412;2018-02-13T21:16:00Z;"Die Entscheidungen des Tages ermöglichen den Fokus auf das, was wirklich wichtig ist: Dialog über die Inhalte des #KoaV, Umsetzen sozialdemokratischer Politik, die Probleme der Menschen lösen statt Selbstbeschäftigung. Nur darum geht es jetzt. #SPD
➡️ https://t.co/ziTzm1xFPC https://t.co/u0xY8HgArr";48;9;positive
Kekeritz;Uwe;Fürth;gruene;Bayern;3.8;20.5;Uwekekeritz;3047;2018-02-14T14:03:00Z;Bei der Eröffnung der @BioFachVivaness in Nürnberg. Wenn jetzt auch noch die Bundesregierung die Zeichen der Zeit erkennen würde, anstatt sich an Pflanzengifte wie Glyphosat zu klammern... #BioFach #biofach18 https://t.co/DDluf8M5Lv;4;0;negative
Dağdelen;Sevim;Bochum I;linke;Nordrhein-Westfalen;9.9;23.5;SevimDagdelen;34257;2018-02-18T08:46:00Z;Wo leben wir denn? Statt die türkische Delegation nach Hause zu schicken, wird ein Mitglied eines Verfassungsorgans unter Polizeischutz vor dem „Partner“ Türkei gestellt. Unfassbar. #MSC2018 https://t.co/HW7my6WzyL;209;114;negative
Mast;Katja;Pforzheim;spd;Baden-Wuerttemberg;4.3;31.1;KatjaMast;2198;2018-02-18T16:40:00Z;Super @spdde Basiskonferenzen zum Mitgliederentscheid in Mainz. Phantastisch wie viele engagierte Teilnehmer tolle Ideen zu #SPDerneuern und einer möglichen Regierungsbeteiligung hatten . So können wir #GemeinsamWasBewegen! #Groko https://t.co/vRZ085SIcd;34;16;positive
Storch;Beatrix von;Berlin-Mitte;afd;Berlin;9.4;24.1;Beatrix_vStorch;61329;2018-02-18T23:53:00Z;Die #Antifa demonstriert gegen Gewalt?  Diese linksextremistischen Steinewerfer und Brandsatzschleuderer sind die letzten, die legitim gegen Gewalt protestieren können. Wer legale Demos verhindert, ist ein Gegner der Demokratie. Da darf der Rechtsstaat ruhig hart durchgreifen. https://t.co/eUcL5fj7RF;558;186;negative
Lay;Caren;Bautzen I;linke;Sachsen;6.9;3.2;CarenLay;9655;2018-02-21T12:46:00Z;"Die AfD will gleich im Bundestag über den rechten """"""""Frauenmarsch"""""""" debattieren. Schon wieder wollen sie Frauenrechte für ihren Rassismus instrumentalisieren. Ich spreche für die @Linksfraktion: Gib Hass keine Chance! @aufstehengegen @BBgegenRechts";210;40;negative
Hess;Martin;Ludwigsburg;afd;Baden-Wuerttemberg;3.5;29;Martin_Hess_AfD;6574;2018-02-22T11:43:00Z;#AfDimBundestag hat heute einen Antrag auf Verbot der Vollverschleierung im öffentlichen Raum gestellt. Vollverschleierung ist kein Glaubensinhalt und keine Form der Religionsausübung. Sie ist Ausdruck einer Unterdrückung der Frau und muss verboten werden! https://t.co/ZZfiWp55Cz;44;8;negative
Müller;Claudia;Vorpommern-Rügen – Vorpommern-Greifswald I;gruene;Mecklenburg-Vorpommern;11.9;3.3;GruenClaudia;2491;2018-02-23T13:08:00Z;"Dabei wirbt #Nordstream2 so gerne damit, dass es für billige Preise in Deutschland sorgt....Das Gas geht übrigens vollständig weiter nach Tschechien....
Ökologisch, ökonomisch und europapolitisch eine Katastrophe.
Die #SPD wird aber weiter ihren Freund #Putin pampern. https://t.co/ln6iR3jCod";6;1;negative
Lay;Caren;Bautzen I;linke;Sachsen;6.9;3.2;CarenLay;9763;2018-02-24T08:09:00Z;Die Augrenzung von MigrantInnen von der #EssenerTafel ist inakzeptabel und rassistisch. Wir dürfen nicht zulassen, dass die Ärmsten gegeneinander ausgespielt werden. Es ist genug Essen für alle da! #LINKE;340;74;negative
Riexinger;Bernd;Stuttgart II;linke;Baden-Wuerttemberg;5;38.6;b_riexinger;38584;2018-02-25T12:39:00Z;Ausgerechnet der Pharmalobbyist Jens #Spahn soll jetzt #Gesundheitsminister werden. Deutschland päppelt schon jetzt die Pharmakonzerne auf Kosten der Patienten. Keine gute Entscheidung für die #Gesundheit der Menschen hier!;553;185;negative
Nastic;Zaklin;Hamburg-Eimsbüttel;linke;Hamburg;7.1;28.3;zaklinnastic;4208;2018-02-26T16:18:00Z;"#SalihMuslim war erst letzte Woche in @Linksfraktion und berichtete über die schwere Situation in #Afrin und #Türkei ,jetzt wurde er festgenommen.Morgen beginnt  der Prozess in Prag.Freiheit für Salih Muslim,statt Unterstützung für Diktator #Erdogan!
https://t.co/IQx02zA9Ut https://t.co/ZqfdAoZ5L1";12;8;negative
Dröge;Katharina;Köln III;gruene;Nordrhein-Westfalen;8.5;32.3;katdro;6180;2018-02-27T13:58:00Z;"Das Urteil zu #Fahrverboten ist Quittung für die Untätigkeit der Bundesregierung. Auch in #Köln mussten Bürger*innen über Jahre schlechte Luft atmen. Wir brauchen jetzt #Nachrüstung auf Kosten der Hersteller &amp; #BlauePlakette Mein Statement mit @svenlehmann
https://t.co/YuttcclbM8";15;4;negative
Magnitz;Frank;Bremen II – Bremerhaven;afd;Bremen;11.1;26.4;Frank_Magnitz;1967;2018-03-05T16:34:00Z;"16 linksextremistische Anschläge in #Bremen seit 2015=Totenstille im Bremer Rathaus
Schmierereien an Fatih-Moschee und Bunker Valentin=sofortige Empörung von Carsten Sieling und linker Entourage

Hier herrscht freies Gewähr für linke Gewalt!

#linkerSumpf #aufdemlinkenAugeblind https://t.co/MrXItZpJig";1;1;negative
Storch;Beatrix von;Berlin-Mitte;afd;Berlin;9.4;24.1;Beatrix_vStorch;61329;2018-03-09T06:13:00Z;Kein Problem, wenn Automobilindustrie den Bach runtergeht. Wir schulen die Arbeitnehmer einfach um auf die Asyl- u Integrationsindustrie: Sozialarbeiter, Sachbearbeiter im BAMF, Dolmetscher, Polizist, Richter oder so. #WasFürEinIrrwitz  https://t.co/xSQ4znhIor;590;240;negative
Magnitz;Frank;Bremen II – Bremerhaven;afd;Bremen;11.1;26.4;Frank_Magnitz;1967;2018-03-09T13:06:00Z;Die #SPD-Vorsitzende @LeniBreymaier von #BadenWürttemberg fordert mehr Geld für #Flüchtlinge auf Grundlage ihrer ganz eigenen Wahrnehmung und offenbart mal wieder die #Weltfremdheit der SPD-#Bonzen. #AfD https://t.co/7RAk5VHFkr;3;1;negative
Spaniel;Dr. Dirk;Stuttgart I;afd;Baden-Wuerttemberg;5;38.6;DirkSpaniel;3743;2018-03-11T09:44:00Z;#Seehofer #Minister in #Merkels Gurkentruppe schwadroniert von #Sicherheit #München #Rauschgiftdelikte plus 92% #Vergewaltigungen plus 50%! Einäugiges #Bayern Vorbild für blindes Deutschland? #Staatsversagen offenbart sich https://t.co/rjJheHVWJI https://t.co/WeWpUmUeEg;50;31;negative
Storch;Beatrix von;Berlin-Mitte;afd;Berlin;9.4;24.1;Beatrix_vStorch;61329;2018-03-13T06:00:00Z;Die Fraktion der Europäischen Christdemokraten möchte den deutschen Beitrag für die EU um 30 Prozent erhöhen. Dann zahlt 🇩🇪 jährlich rund 40 statt 30 Milliarden Euro ein. Bisher gab es einen Deckel bei 1 Prozent des BIP. CDU und Co wollen zukünftig 1,3%. Und bewerben das stolz. https://t.co/LwoBkEI9kO;245;148;negative
Hess;Martin;Ludwigsburg;afd;Baden-Wuerttemberg;3.5;29;Martin_Hess_AfD;6574;2018-03-13T08:09:00Z;"Unfassbares Urteil, das mit Rechtsstaatlichkeit wenig zu tun hat: #VW darf Autobauer nicht kündigen, der Arbeitskollegen zu ermorden drohte und zum IS reisen wollte. Selbstverständlich darf VW Leben &amp; Gesundheit seiner Mitarbeiter vor Terroristen schützen! https://t.co/Mk4aKOiG0j";143;82;negative
Baerbock;Annalena;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;gruene;Brandenburg;6;6.3;ABaerbock;107693;2018-03-14T06:20:00Z;Auch weltweit sieht man, dass Angela #Merkel s  #GroKo 3.0 nicht klimatauglich ist, sondern vielmehr das Pariser Abkommen unterläuft. Auch außenpolitisch fatal. Daher  Klimasofortprogramm jetzt auflegen! https://t.co/LH73sSW5gU;96;24;negative
Nouripour;Omid;Frankfurt am Main II;gruene;Hessen;6.2;44.2;nouripour;19679;2018-03-15T09:35:00Z;@NielsAnnen hält gerade seiner Rede als Staatsminister. Freue mich sehr für ihn und auf die Zusammenarbeit. Auch wenn die Abstraktionshöhe seiner Worte ad hoc massiv zugenommen hat. 😉;0;0;positive
Pilsinger;Stephan;München-West/Mitte;cdu_csu;Bayern;4.5;34.3;stephpilsinger;1163;2018-03-15T11:21:00Z;Heute bei der Eröffnung d. #Pflegetag in Berlin. Ich freue mich, dass der neue Gesundheitsminister @jensspahn das Thema Pflege auf der Agenda ganz oben stehen hat. https://t.co/z4u67AyD6O;5;0;positive
Leutert;Michael;Chemnitz;linke;Sachsen;8.2;6.5;MichaelLeutert;3931;2018-03-15T18:02:00Z;"Warum der AfD-Antrag auf ersatzlose Abschaffung des Solidaritätszuschlags finanz- und verteilungspolitischer Unsinn ist. Die #AfD möchte Einkommensstarke entlasten und Ausgaben, die der Allgemeinheit zugute kommen, kürzen. Ein Antrag für die Tonne!
https://t.co/Eh2rINuyF9";9;7;negative
Müller-Gemmeke;Beate;Reutlingen;gruene;Baden-Wuerttemberg;3.7;26;GrueneBeate;5357;2018-03-15T21:26:00Z;#FDP will längere tägliche #Arbeitszeit, verkürzte Ruhezeiten ohne Untergrenze. Sie will die Gesellschaft flexibilisieren, damit sie gut in die digitale Arbeitswelt passt. Wir wollen das Gegenteil – Arbeit soll besser ins Leben der Beschäftigten passen https://t.co/NvESsoGqjI;25;9;positive
Magnitz;Frank;Bremen II – Bremerhaven;afd;Bremen;11.1;26.4;Frank_Magnitz;1967;2018-03-19T11:10:00Z;"Das muss man auch mal hinbekommen. Da findet man bei """"""""linken Aktivisten"""""""" (was eine Untertreibung) Sprengstoff und die Schreiberlinge beim @Tagesspiegel bebildern das Ganze mit Nazi-Demos, #Antifa-Blatt auf Niveau der @Jungle_World.
#Qualitätsjournalismus #FakeNews https://t.co/3mQ2PdglPb";4;6;negative
Magnitz;Frank;Bremen II – Bremerhaven;afd;Bremen;11.1;26.4;Frank_Magnitz;1967;2018-03-20T10:44:00Z;"„Man benötigt schon eine große Portion Geschichtsvergessenheit, ausgerechnet den Sozialdemokraten ein gestörtes Verhältnis zum Terrorismus vorzuwerfen.“ 
Unsere politisch-gefärbte Einordnung gib uns heute! 
ARD glänzt wieder mit #Qualitätsjournalismus.
#Listhaug https://t.co/bG0iTnNufB";2;2;negative
Gröhe;Hermann;Neuss I;cdu_csu;Nordrhein-Westfalen;5.7;23;groehe;49868;2018-03-20T16:36:00Z;Ich freue mich sehr – über meine #Wahl zum Stellvertretenden Vorsitzenden der CDU/CSU-Fraktion im Deutschen #Bundestag, das Wahlergebnis von 91 Prozent, den damit verbundenen Vertrauensbeweis meiner Kolleginnen und Kollegen und meine neuen Aufgaben! Herzlichen Dank! @cducsubt https://t.co/yoRpBwZukx;153;20;positive
