"Qnum";"sentence";"terms";"stopwords";"terms.raw";"sentiws";"sentiws.norm";"polarity";"polarity.norm";"text";"posterms";"negterms";"sentiment";"sentiment.norm";"coder1";"coder2";"coder3";"vote"
"1379";" ich höre schon jetzt , wie diese regierung dann verkünden wird : was wollt ihr denn ";7;7;14;0;0;-1;-0.142857142857143;" ich höre schon jetzt , wie diese regierung dann verkünden wird : was wollt ihr denn ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1415";" ich frage mich nur , warum ihre fraktion unserem entsprechenden antrag nicht zuzustimmen bereit ist ";9;5;14;1;0.111111111111111;0;0;" ich frage mich nur , warum ihre fraktion unserem entsprechenden antrag nicht zuzustimmen bereit ist ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1421";" das ziel , insbesondere der amerikanischen militärführung , war es offensichtlich , die taliban binnen 18 monaten sozusagen an den verhandlungstisch zu bomben ";14;6;20;1;0.0714285714285714;0;0;" das ziel , insbesondere der amerikanischen militärführung , war es offensichtlich , die taliban binnen 18 monaten sozusagen an den verhandlungstisch zu bomben ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1423";" der eine bekommt dafür 1 800 dm , der andere nichts ";7;3;10;0;0;-1;-0.142857142857143;" der eine bekommt dafür 1 800 dm , der andere nichts ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1429";" das zeigt uns , dass wir die entwicklung in diesem punkt nicht unkontrolliert laufen lassen dürfen ";9;6;15;0;0;0;0;" das zeigt uns , dass wir die entwicklung in diesem punkt nicht unkontrolliert laufen lassen dürfen ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1452";" unabhängig davon habe ich persönlich allerdings insbesondere mit zwei der in dem antrag enthaltenen punkte erhebliche schwierigkeiten ";13;4;17;0;0;-1;-0.0769230769230769;" unabhängig davon habe ich persönlich allerdings insbesondere mit zwei der in dem antrag enthaltenen punkte erhebliche schwierigkeiten ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1473";" ich persönlich glaube - da bin ich mir mit den kollegen der spd einig - , daß dies für die kraftwärme-kopplung nicht ausreichen wird ";11;10;21;2;0.181818181818182;1;0.0909090909090909;" ich persönlich glaube - da bin ich mir mit den kollegen der spd einig - , daß dies für die kraftwärme-kopplung NOT_ausreichen wird ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1477";" herr kollege reuter , ich hoffe , daß sie den unterschied zwischen einer pressemitteilung und einer verwaltungsvorschrift sehen und kennen .  . ";14;6;20;2;0.142857142857143;-1;-0.0714285714285714;" herr kollege reuter , ich hoffe , daß sie den unterschied zwischen einer pressemitteilung und einer verwaltungsvorschrift sehen und kennen .  . ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1482";" kein wunder , meine ich , wenn politikerinnen und politiker auf diese weise immer mehr an glaubwürdigkeit verlieren ";10;6;16;1;0.1;1;0.1;" NOT_wunder , meine ich , wenn politikerinnen und politiker auf diese weise immer mehr an glaubwürdigkeit verlieren ";2;2;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1483";" die durch solche regelungen der offenen vermögensfragen entstandenen spannungen - ich weiß , wovon ich rede - werden uns in diesem lande noch l ange zu schaffen machen ";15;10;25;1;0.0666666666666667;1;0.0666666666666667;" die durch solche regelungen der offenen vermögensfragen entstandenen spannungen - ich weiß , wovon ich rede - werden uns in diesem lande noch l ange zu schaffen machen ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1488";" so wie sich herr merz hier hingestellt hat , ist er mir vorgekommen wie der großinquisitor in der name der rose ";11;9;20;0;0;0;0;" so wie sich herr merz hier hingestellt hat , ist er mir vorgekommen wie der großinquisitor in der name der rose ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1493";" all die vorschriften , die sie uns empfehlen , will dieser populist schröder streichen ";8;4;12;1;0.125;1;0.125;" all die vorschriften , die sie uns empfehlen , will dieser populist schröder streichen ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1499";" sie tragen immer andere zahlen vor ";3;3;6;0;0;0;0;" sie tragen immer andere zahlen vor ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"154";" herr kollege wissing , ich wollte sie nur fragen , wie das , was sie gerade zu den umweltsteuern vorgetragen haben , zur programmlage ihrer partei und insbesondere zu dem entsprechenden beschluss , den sie zu den umweltsteuern gefasst haben , passt .  . ";25;13;38;1;0.04;-1;-0.04;" herr kollege wissing , ich wollte sie nur fragen , wie das , was sie gerade zu den umweltsteuern vorgetragen haben , zur programmlage ihrer partei und insbesondere zu dem entsprechenden beschluss , den sie zu den umweltsteuern gefasst haben , passt .  . ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"165";" herr staatssekretär , haben sie aus der frage des kollegen michelbach und aus äußerungen , die von anderen kollegen aus der union in den letzten wochen zu diesen grundfragen der finanzpolitik gemacht worden sind , erkennen können , dass die union weiß , was sie will ?  . ";28;15;43;1;0.0357142857142857;-4;-0.142857142857143;" herr staatssekretär , haben sie aus der frage des kollegen michelbach und aus äußerungen , die von anderen kollegen aus der union in den letzten wochen zu diesen grundfragen der finanzpolitik gemacht worden sind , erkennen können , dass die union weiß , was sie will ?  . ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"171";" aber ich will auch gleich auf die pferdefüße zu sprechen kommen , die für mich eine zustimmung zu diesen anträgen ausschließen ";13;7;20;1;0.0769230769230769;1;0.0769230769230769;" aber ich will auch gleich auf die pferdefüße zu sprechen kommen , die für mich eine zustimmung zu diesen anträgen ausschließen ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"180";" bundeskanzler schröder sitzt öfter und länger am gendarmenmarkt als hier im deutschen parlament ";9;4;13;0;0;0;0;" bundeskanzler schröder sitzt öfter und länger am gendarmenmarkt als hier im deutschen parlament ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"220";" viele eltern empfinden es als bevormundung - auch das darf ich an dieser stelle sagen - , wenn sie feststellen , dass die lebensentscheidungen , egal wie sie ausfallen , in eine gewisse rangfolge gestellt werden , wenn sie feststellen , dass nur das eine lebensmodell politisch korrekt und zulässig ist , ein anderes , nämlich die entscheidung , für eine gewisse zeit oder dauerhaft für kinder zu hause zu bleiben , als verzopft , lächerlich oder altmodisch dargestellt wird ";43;24;67;-1;-0.0232558139534884;0;0;" viele eltern empfinden es als bevormundung - auch das darf ich an dieser stelle sagen - , wenn sie feststellen , dass die lebensentscheidungen , egal wie sie ausfallen , in eine gewisse rangfolge gestellt werden , wenn sie feststellen , dass nur das eine lebensmodell politisch korrekt und zulässig ist , ein anderes , nämlich die entscheidung , für eine gewisse zeit oder dauerhaft für kinder zu hause zu bleiben , als verzopft , lächerlich oder altmodisch dargestellt wird ";4;4;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"293";" christian schmidt , parl. staatssekretär beim bundesminister der verteidigung : ich mache mir ihre bewertung nicht zu eigen ";11;4;15;1;0.0909090909090909;0;0;" christian schmidt , parl. staatssekretär beim bundesminister der verteidigung : ich mache mir ihre bewertung nicht zu eigen ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"304";" aber sie haben sich nicht nur bei den annahmen der einkommenssteigerungen total verrechnet ; von diesen einkommenssteigerungen profitiert ja nur ein viertel der erwerbstätigen ";16;8;24;0;0;0;0;" aber sie haben sich nicht nur bei den annahmen der einkommenssteigerungen total verrechnet ; von diesen einkommenssteigerungen profitiert ja nur ein viertel der erwerbstätigen ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"312";" mit festen begriffen werden wir nichts erreichen ";4;3;7;2;0.5;1;0.25;" mit festen begriffen werden wir NOT_erreichen ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"316";" das wäre eine völlige überforderung ";3;2;5;0;0;0;0;" das wäre eine völlige überforderung ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"319";" zum zweiten - ich muß eine frage formulieren - : ist ihnen bekannt , daß die formulierung auf dauer angelegt die wörtliche übernahme der entsprechenden formulierung des bundesverfassungsgerichtes im hinblick auf die definition der nichtehelichen lebensgemeinschaft ist , die vom bundesverfassungsgericht bislang bedauerlicherweise ausschließ- lich auf verschiedengeschlechtliche lebensgemeinschaften bezogen wurde ";29;15;44;1;0.0344827586206897;0;0;" zum zweiten - ich muß eine frage formulieren - : ist ihnen bekannt , daß die formulierung auf dauer angelegt die wörtliche übernahme der entsprechenden formulierung des bundesverfassungsgerichtes im hinblick auf die definition der nichtehelichen lebensgemeinschaft ist , die vom bundesverfassungsgericht bislang bedauerlicherweise ausschließ- lich auf verschiedengeschlechtliche lebensgemeinschaften bezogen wurde ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"354";" es wurde nur versäumt , eine frist festzusetzen ";4;3;7;0;0;0;0;" es wurde nur versäumt , eine frist festzusetzen ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"358";" das ergebnis war nicht überzeugend ";3;2;5;0;0;-1;-0.333333333333333;" das ergebnis war NOT_überzeugend ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"36";" warum hat das bundesinnenministerium die vom stellvertretenden abteilungsleiter grenzschutz schon im sommer des letzten jahres zugesagte überprüfung sämtlicher standorte auf der grundlage einheitlicher kriterien und politischer vorgaben nicht realisiert ?  . ";24;7;31;2;0.0833333333333333;0;0;" warum hat das bundesinnenministerium die vom stellvertretenden abteilungsleiter grenzschutz schon im sommer des letzten jahres zugesagte überprüfung sämtlicher standorte auf der grundlage einheitlicher kriterien und politischer vorgaben nicht realisiert ?  . ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"41";" bei herrn lindner bleibt die demokratie vor den werkstoren stehen ";7;3;10;0;0;0;0;" bei herrn lindner bleibt die demokratie vor den werkstoren stehen ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"415";" sie sind nur an show interessiert und nicht daran , etwas zu bewegen ";8;4;12;1;0.125;0;0;" sie sind nur an show interessiert und nicht daran , etwas zu bewegen ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"43";" noch : heide mattischeck - ja , aber das ziel haben sie aus den augen verloren ";9;4;13;1;0.111111111111111;-1;-0.111111111111111;" noch : heide mattischeck - ja , aber das ziel haben sie aus den augen verloren ";2;2;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"442";" dann kommt er hierher und hält uns gegenüber mahnende reden , uns , die wir diesen haushalt auf den tisch gelegt haben ";11;9;20;0;0;0;0;" dann kommt er hierher und hält uns gegenüber mahnende reden , uns , die wir diesen haushalt auf den tisch gelegt haben ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"443";" sie wissen genausogut wie ich , herr kollege jens , daß das an der realität vorbeigeht ";10;4;14;1;0.1;1;0.1;" sie wissen genausogut wie ich , herr kollege jens , daß das an der realität vorbeigeht ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"460";" das gestehe ich ihnen zu , auch wenn sie sicher in ihrer beruflichen laufbahn gelegentlich dinge gemacht haben , die mit dem berufsethos eines rechtsanwaltes nicht in einklang zu bringen sind ";16;13;29;1;0.0625;-1;-0.0625;" das gestehe ich ihnen zu , auch wenn sie sicher in ihrer beruflichen laufbahn gelegentlich dinge gemacht haben , die mit dem berufsethos eines rechtsanwaltes nicht in einklang zu bringen sind ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"465";" diese regierung will alles gleichzeitig ";3;2;5;0;0;0;0;" diese regierung will alles gleichzeitig ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"472";" dies ist eine politik , die den anforderungen einer wirksamen bekämpfung von arbeitslosigkeit nicht gerecht wird ";8;7;15;1;0.125;0;0;" dies ist eine politik , die den anforderungen einer wirksamen bekämpfung von arbeitslosigkeit NOT_gerecht wird ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"499";" er hat nämlich taten anstatt worte gefordert , und genau daran mangelt es ";9;3;12;0;0;0;0;" er hat nämlich taten anstatt worte gefordert , und genau daran mangelt es ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"539";" es ist gar nicht auszudenken , wenn statt der pallas öltanker wie die sea empress , die äegean sea oder die braer vor amrum brennend gestrandet wären ";17;8;25;0;0;0;0;" es ist gar nicht auszudenken , wenn statt der pallas öltanker wie die sea empress , die äegean sea oder die braer vor amrum brennend gestrandet wären ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"573";" wenn es grund zur kritik gibt und eingeständnisse erforderlich sind , dann müssen wir alle uns selbst an die nase fassen : wir alle haben zu lange geglaubt , es reiche aus , die tiermehlverfütterung an wiederkäuer - die deutschen sicherheitsstandards beim tiermehl sind anerkannt hoch - zu verbieten , um die bundesrepublik vor bse zu bewahren ";30;20;50;0;0;0;0;" wenn es grund zur kritik gibt und eingeständnisse erforderlich sind , dann müssen wir alle uns selbst an die nase fassen : wir alle haben zu lange geglaubt , es reiche aus , die tiermehlverfütterung an wiederkäuer - die deutschen sicherheitsstandards beim tiermehl sind anerkannt hoch - zu verbieten , um die bundesrepublik vor bse zu bewahren ";3;3;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"586";" damit geriete die akzeptanz des ganzen gesetzes in gefahr ";5;4;9;0;0;0;0;" damit geriete die akzeptanz des ganzen gesetzes in gefahr ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"605";" ) es führt zu einem gigantischen verwaltungsaufwand , der überhaupt nicht zu bewältigen ist , wenn jeweils geprüft werden muß , ob die zweite staatsangehörigkeit bei der option für die deutsche tatsächlich aufgegeben wird ";20;11;31;1;0.05;-1;-0.05;" ) es führt zu einem gigantischen verwaltungsaufwand , der überhaupt nicht zu bewältigen ist , wenn jeweils geprüft werden muß , ob die zweite staatsangehörigkeit bei der option für die deutsche tatsächlich aufgegeben wird ";2;2;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"613";" das langfristige handeln findet eben nicht statt , herr kurth ";7;2;9;0;0;0;0;" das langfristige handeln findet eben nicht statt , herr kurth ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"645";" das stimmt einfach nicht ";2;2;4;1;0.5;0;0;" das stimmt einfach nicht ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"649";" wir lehnen den bundeshaushalt in der dritten lesung ab ";6;3;9;0;0;0;0;" wir lehnen den bundeshaushalt in der dritten lesung ab ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"657";" in diesem zusammenhang ist es geradezu ein hohn , wenn die bundesregierung in ihrer antwort die beteiligung der kommunen an der zinsabschlagsteuer als entlastungsmaßnahme der bundesregierung zugunsten der kommunen darstellt ";18;11;29;0;0;0;0;" in diesem zusammenhang ist es geradezu ein hohn , wenn die bundesregierung in ihrer antwort die beteiligung der kommunen an der zinsabschlagsteuer als entlastungsmaßnahme der bundesregierung zugunsten der kommunen darstellt ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"662";" insofern geht ihr angebot ins leere , herr müntefering ";6;2;8;0;0;1;0.166666666666667;" insofern geht ihr angebot ins leere , herr müntefering ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"665";" aber sie dürfen doch nicht den stärkeren noch bevorzugen ";5;4;9;0;0;-1;-0.2;" aber sie dürfen doch nicht den stärkeren noch bevorzugen ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"674";" dies ist zu guter letzt so weit gegangen , dass sich ihr und mein kollege leidinger zu der aussage hinreißen ließ , dass in dem strukturschwachen regen 90 prozent der arbeitsplätze gehalten werden ";20;11;31;1;0.05;0;0;" dies ist zu guter letzt so weit gegangen , dass sich ihr und mein kollege leidinger zu der aussage hinreißen ließ , dass in dem strukturschwachen regen 90 prozent der arbeitsplätze gehalten werden ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"710";" man kann nicht nur von einem goldenen handschlag sprechen und sagen , den habe die bundesregierung bzw. die bvs gegeben ";11;7;18;1;0.0909090909090909;0;0;" man kann nicht nur von einem goldenen handschlag sprechen und sagen , den habe die bundesregierung bzw. die bvs gegeben ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"713";" auf jeden fall stellen sie fest - diese kritik ist schon gekommen - , dass der zeithorizont der nachhaltigkeitsstrategie zu kurz ist ";11;8;19;-1;-0.0909090909090909;0;0;" auf jeden fall stellen sie fest - diese kritik ist schon gekommen - , dass der zeithorizont der nachhaltigkeitsstrategie zu kurz ist ";2;2;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"717";" das ist wirklich der gipfel dessen , was man beschließen kann ; denn sie nehmen den leuten die positiven seiten , die sie vorher von der 58er-regelung gehabt haben , erklären sie aber trotzdem als nicht arbeitslos , damit sie sie wenigstens aus der statistik heraushaben ";26;16;42;-1;-0.0384615384615385;-3;-0.115384615384615;" das ist wirklich der gipfel dessen , was man beschließen kann ; denn sie nehmen den leuten die positiven seiten , die sie vorher von der 58er-regelung gehabt haben , erklären sie aber trotzdem als nicht arbeitslos , damit sie sie wenigstens aus der statistik heraushaben ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"742";" das nützt meines erachtens schon mittelfristig nicht einmal deutschen unternehmen ";7;3;10;0;0;-2;-0.285714285714286;" das nützt meines erachtens schon mittelfristig nicht einmal deutschen unternehmen ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"743";" herr mayer , an ihrer stelle wäre ich etwas leiser ";7;2;9;0;0;0;0;" herr mayer , an ihrer stelle wäre ich etwas leiser ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"76";" wo leben wir denn , dass wir das tun , dass wir das vor allem widerspruchslos tun können ";8;8;16;0;0;0;0;" wo leben wir denn , dass wir das tun , dass wir das vor allem widerspruchslos tun können ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"828";" mich würde mal interessieren , wie sie einschätzen , was ihre alten kumpane und busenfreunde thomas ebermann und gremlitza und der chefredakteur kolodziej , die jetzt die junge welt übernommen haben , davon halten ";21;9;30;0;0;-1;-0.0476190476190476;" mich würde mal interessieren , wie sie einschätzen , was ihre alten kumpane und busenfreunde thomas ebermann und gremlitza und der chefredakteur kolodziej , die jetzt die junge welt übernommen haben , davon halten ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"83";" aber da hören die gemeinsamkeiten dann auch schon auf ";5;4;9;0;0;0;0;" aber da hören die gemeinsamkeiten dann auch schon auf ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"891";" es ist aber ein irrglaube , daß wir die probleme allein durch die ausgliederung der versicherungsfremden leistungen lösen könnten ";12;6;18;0;0;-1;-0.0833333333333333;" es ist aber ein irrglaube , daß wir die probleme allein durch die ausgliederung der versicherungsfremden leistungen lösen könnten ";2;2;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"894";" kümmern sie sich nicht immer nur um den export ";5;4;9;0;0;-1;-0.2;" kümmern sie sich nicht immer nur um den export ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"905";" es bleibt aber das problem , daß offensichtlich immer noch eine lücke zwischen dem , was wirklich benötigt wird , und dem , was bisher international angeboten wird , besteht ";15;10;25;1;0.0666666666666667;-3;-0.2;" es bleibt aber das problem , daß offensichtlich immer noch eine lücke zwischen dem , was wirklich benötigt wird , und dem , was bisher international angeboten wird , besteht ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"939";" wenn wir diesen einsatz ernst nehmen , dann müssen die leute , die dorthin geschickt werden , bitte schön auch so ausgestattet werden , dass sie ihren job machen können ";15;11;26;1;0.0666666666666667;0;0;" wenn wir diesen einsatz ernst nehmen , dann müssen die leute , die dorthin geschickt werden , bitte schön auch so ausgestattet werden , dass sie ihren job machen können ";3;3;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"957";" ich habe immer gehört , dass das heimgesetz und das pflegequalitätssicherungsgesetz sehr bürokratisch sind ";8;5;13;0;0;1;0.125;" ich habe immer gehört , dass das heimgesetz und das pflegequalitätssicherungsgesetz sehr bürokratisch sind ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
