doc_id;full_text
ABaerbock15514725531;, Natascha Nicklaus + kaempfen fuer etwas das groesser ist als ein Bulletpoint auf ihrer Praxis Website. Sie kaempfen fuer das Selbstbestimmungsrecht von uns Frauen. Dafuer gibts zu Recht den Anne Klein Frauenpreis der Trustwomen wegmit219a
ABaerbock15530897631;Das Klimakabinett muss in die Puschen kommen: Schnell ein ambitioniertes Klimaschutzgesetz auf den Weg bringen mit verbindlichen Massnahmen und Instrumenten. Liegt doch genug auf dem Tisch. Entscheiden + machen, nicht plaudern. Klimaschutz Gro Ko
ABaerbock15531177741;Grundsatzprogramm toppt Wahlprogramme: 14 Stunden finale Textarbeit - und keine Ende in Sicht. Aber und ich haben mindestens so viel Freude wie damals zu guten alten Zeiten der Antragskommission. Still Loving Programmarbeit
ABaerbock15534389801;Ein starkes Europa braucht starke Kommunen. Beides kann man am 26. Mai waehlen. In Mecklenburg-Vorpommern treten wir mit 437 buendnisgruenen KandidatInnen an. Uwe Flachsmeyer in Rostock mit d Chance 2. Gruener OB in M-V zu werden. als junge Stimme fuer Europa. Auf gehts!
ABaerbock15558278691;Wir sind zutiefst erschuettert ueber den grausamen Anschlag auf ChristInnen und AuslaenderInnen in Sri Lanka. Der heutige Tag sollte ein friedliches Osterfest fuer alle Menschen sein. In Gedanken sind wir bei den Familien und Freunden der Opfer. Liebe ist staerker als Hass.
ABaerbock15587025261;Danke Fridays For Future. Das ist die groesste Klimabewegung aller Zeiten. Jung und Alt in ueber 300 Staedten Deutschlands auf der Strasse. Klima Wahl Vote For Climate Europawahl2019 Klimaschutz Jugend Aendert Europa
ABaerbock15592071001;Inferno in Idlib : Helfer, die mit Blut ueberstroemte Kinder aus den Truemmern ziehen, die Augen aufgerissen, der Blick starr vor Entsetzen. Die Welt hat uns aufgegeben. Eine Schande fuer uns alle.
ABaerbock15606031321;Fuer die vielen neuen Leute, die in ganz Thueringen fuer starke Doerfer und Staedte streiten, fuer Klimaschutz sowie gute Schulen Kitas eintreten, reichte bei der ldkth19 der Platz auf der Buehne kaum. So kann es im Herbst weitergehen. hierjetztmorgen
ABaerbock15823659901;Say Their Names Wir trauern um Ferhat Uenver Mercedes Kierpacz Sedat Guerbuez Goekhan Gueltekin Hamza Kurtovi Kalojan W. Vili V. Pun Said N. Hashemi Ein neuntes Opfer die bei dem rassistischem Anschlag in Hanau aus ihrem Leben gerissen wurden. Ebenso seine Mutter, Frau Rathjen
ABaerbock15831036261;von Lesvos :Erdogan versucht, d EU zu erpressen. Darauf muss es eine gemeinsame,europaeische Antwort geben...schnell humanitaere Hilfe leisten... Gefluechtete an Landgrenze unterstuetzen.Inseln evakuieren.
ABaerbock15840263781;Humanitaet und Ordnung: Das bedingt einander. Das sehen wir nicht nur auf Lesbos, das sehen wir ueberall an der griechisch-tuerkischen Grenze. Wer zentrale Grundrechte ausser Kraft setzt produziert Chaos, statt geordneter Verfahren. Griechenland Tuerkei
ABaerbock15863730361;Auf den Punkt : In das politische Handlungs- und Fuehrungsvakuum innerhalb der EU treten Europas geopolitische Gegenspieler.... Was aber, wenn China morgen Italien und Spanien einen grosszuegigen chinesischen Marshallplan anbietet?
ABaerbock15889180461;Wir erinnern, wir gedenken und vor allem tragen wir Verantwortung. Demokratie zu verteidigen. Gegen Faschismus, Antisemitismus und Rassismus aufzustehen. Und Europa gemeinsam zu leben. Tag Der Befreiung 8Mai Nie Wieder Europatag2020
ABaerbock15894688221;Auch in der Coronakrise muessen wir die Rechte von Kindern schuetzen: Der zerbrechlichste Bereich kann nicht der Bereich sein, der als letztes wieder zu einer neuen Normalitaet zurueckkehrt. Bundestag Kinderrechte coronachallenge
ABaerbock15923081431;Corona Warn App ist installiert. Check. Jetzt ist wichtig, dass viele Menschen mitmachen. So koennen Infektionsketten besser verfolgt werden. Und es braucht ein gesetzliches Fundament, das Vertrauen und Rechtssicherheit herstellt. Gemeinsam Gegen Corona
ABaerbock15944555611;Erinnerung an Srebrenica - kaum zu ertragen. Ein Voelkermord mitten in Europa, jahrelange Verbrechen gegen die Menschlichkeit, ethnische Saeuberung, Vergewaltigung als Kriegswaffe ... Srebrenica25Years On Mahnung fuer uns alle.
ABaerbock15966111451;Die schrecklichen Bilder aus dem Libanon erschuettern mich zutiefst. Meine Gedanken sind bei den Opfern und ihren Angehoerigen. Das Land braucht jetzt schnelle und unbuerokratische Unterstuetzung.
ABaerbock16005245281;Herzlichen Glueckwunsch liebe Lisa! Und mal ehrlich, es gibt doch fast nichts schoeneres als mit uns auf der Strasse Geburtstag zu feuern
ABaerbock16050957581;Unglaubliche Strafrechtsverschaerfungen in Belarus , um friedliche Demonstranten zu inhaftieren und im wahrsten Sinne des Wortes mundtot zu machen. Die EU muss auf allen Ebenen aktiv werden - gerade auch ggue dem Kreml, d diese massiven Menschenrechtsverletzungen stuetzt.
ABaerbock16059509331;(3/4) dbdk20 .... um das Ueberschreiten von relevanten Kipppunkten im Klimasystem zu verhindern. Es ist daher notwendig auf den 1,5 Grad-Pfad zu kommen. Dafuer ist unmittelbares und substanzielles Handeln in den naechsten Jahren entscheidend....
ABaerbock16060596891;Stolz wie Bolle auf unser neues Grundsatzprogramm. Leidenschaftliche Debatten mit Herz Verstand - so haben wir unser Wertefundament fuer das naechste Jahrzehnt geschaffen. Was fuer eine Arbeit von so vielen. Danke, dass wir gemeinsam diesen Parteitag digital gewagt haben. dbdk20
A_Gloeckner15707926111;Es ist die richtige Entscheidung Abiy Ahmed mit dem Friedensnobelpreis auszuzeichnen. Er hat es geschafft Voelker zu versoehnen und damit einen wichtigen Beitrag fuer Weltfriede und Humanitaet geleistet. aethiopien hungersnotbekaempfen Friedensnobelpreis
A_Gloeckner15806468601;Heute in Bruessel mit meinen spd KollegInnen im Europa-Ausschuss auf Einladung der FES. Wie machen wir die EU stark, um die vor uns liegenden Aufgaben zu loesen. sozialeungleichheit, Digitalisierung sozialvertraeglichen Klimaschutz
AfDNbg15520174141;Wir stehen vor der EU Wahl und CDU CSU finden Af D-Positionen gut. Danke, somit sind wir wenigstens einige Monate im Jahr auf dem richtigen Weg. Schade, dass die danach wieder das Gegenteil machen.
AfDNbg15520306521;Malys neuerliche Behauptung, dass Nuernbergs Sicherheit besser geworden sei, ist unglaubwuerdig. Die zunehmende Anzahl an Wohlstandssuchenden werden wohl kaum zu Heiligen mutiert sein. Fluechtlinge Migranten
AfDNbg15571536931;Die Industrie ist da nun nicht ganz zu verstehen. Vor 3 Jahren hat die noch Refugees Welcome gerufen und heute beschwert die sich, dass kein Geld fuer Investitionen da ist. Nee, nee wo soll das noch hinfuehren.
AfDNbg15595342931;Die CDU hatte also mal wieder ein Werkstattgespraech . Das Ergebnis laesst nix Gutes erahnen. Wenn ausser Modernisierung nichts heraus kam, wurden die Sorgen der Buerger immer noch nicht verstanden.
AfDNbg15600773711;Und ARD soll wirklich noch mehr Geld bekommen??? GEZ Ich verrate ihnen was. Der Qualitaetsmangel bei den GEZ Medien liegt nicht am Geld, sondern am Personal. Nein, lassen Sie es stecken, kostet nichts.
AfDNbg15604094071;Niemandem wird etwas weggenommen. So war die Behauptung der Kartellparteien. Grundsteuer zahlt allerdings JEDER. Als naechstes folgt die CO2-Steuer, die die Aermeren und Normalverdiener haerter trifft. Facharbeiter Migranten
AfDNbg15612911441;Die CDU Spitze wird immer mehr feststellen muessen, das es ein weiter so nicht mehr geben wird. Auch viele in der CDU wollen eine andere Politik. Die erste erfolgreiche Koalition mit der AfD wurde gegruendet.
AfDNbg15662897201;Auch in Deutschland muss die Regierung sich wieder stark machen, gegen den Oekopopulismus anzukaempfen. Die ausufernde Panikmache in allen Bereichen fuehrt zu erheblichen wirtschaftlichen Schaeden.
AfDNbg15808321851;Laut Artikel 14 des Vertrages ueber die Europaeische Union darf das Parlament maximal 750 Sitze (ohne den Praesidenten) haben. Sollte es nicht zur Reform des Wahlrechts kommen, schafft der Bundestag naechstes Jahr mehr.
AndiScheuer15173074861;So wie im Sondierungspapier mit der vereinbart, koennen dann nur noch maximal 1.000 Personen pro Monat im Rahmen der vereinbarten Gesamtzahl nachkommen - Ehegatten und minderjaehrige Kinder. Familiennachzug
AndiScheuer15173075271;Eine Haertefallregelung fuer einige wenige Faelle im Jahr gibt es bereits heute. Es gibt also kein Mehr an Zuwanderung zu den bestehenden Vereinbarungen, sondern eine bessere Steuerung und Ordnung mit begrenzender Wirkung. Familiennachzug
AndiScheuer15762255731;Klimaschutz sorgt fuer neue Arbeitsplaetze in den Regionen. Regionalbusse, Lkw, Gabelstapler Autos tanken u.a. in Landshut bald Wasserstoff rein aus erneuerbaren Energien - vor Ort hergestellt! Herzlichen Glueckwunsch an alle 16 H2-Regionen in Deutschland. Hy Land Hy Bayern
AndiScheuer16014454601;In ihrem Podcast Auf einen Polittee mit.... sprechen und ich ueber moderne Mobilitaet, Klimaschutz und darueber, warum Deutschland statt Verbote mehr Erfindergeist Innovationen Made In Germany braucht - auch in der Automobilbranche:
AndiScheuer16070042301;(6/7) Fuer ein gutes Ladenetz muessen wir gross denken. Deswegen schreiben wir ein Schnellladenetz mit 1.000 Standorten, an grossen Verkehrsachsen und Kommunen, aus. An jedem Lade Hub wird es mehrere Ladepunkte geben. Aktuell erarbeiten wir dazu ein Schnelllade-Gesetz.
AndreasBleckMdB15092831231;Wir haben keinen Rechts-, sondern einen Linksstaat. Er kriminalisiert nicht-linke Parteien und Organisationen und unterstuetzt Linksextreme. Die AfD ist das Korrektiv, das diesen Sumpf trockenlegen wird.
AndreasBleckMdB15106297071;Buffon ist ein grosser Sportsmann! Als die Italiener bei der schwedischen Hymne pfeifen, klatscht er demonstrativ fuer die Gaeste. Fuer ihn tut es mir leid, dass er nicht bei der WM2018 in Russland dabei ist.
AndreasBleckMdB15108464351;Peinlich fuer die Gruenen: Einige dieser Staaten, die den Kohleausstieg wollen, setzen auf die Kernenergie. Entscheidet euch endlich! Ein gleichzeitiger Ausstieg aus der fossilen Energie und Kernenergie ist auf absehbare Zeit nicht moeglich!
AndreasBleckMdB15161029441;Die SPD in NRW verhaelt sich wie CDU, CSU und SPD im Bund. Wenn man weiss, dass man die Mitglieder oder Buerger nicht hinter sich hat, laesst man es mit der direkten Demokratie lieber gleich bleiben. Das heisst: Durchregieren gegen die Basis!
AndreasBleckMdB15163475891;Die CDU/CSU-Fraktion praesentiert sich mit ihrem Antrag zur Aenderung des Aufenthaltsgesetzes als Loesung des Problems Fluechtlingskrise. Ein Problem, dass es ohne CDU und CSU gar nicht gegeben haette!
AndreasBleckMdB15168242811;Die Teams moegen grundsaetzlich auf Augenhoehe sein. Dennoch war in der 2. Haelfte taktisch besser aufgestellt. ist psychisch und physisch voellig eingebrochen. Das war in der 2. Haelfte eine Lehrstunde fuer die Bad Boys.
AndreasBleckMdB15228248931;Die Anzahl der Salafisten in Deutschland waechst zurzeit exponentiell, die Personalkapazitaeten des Verfassungsschutzes nur linear. Es ist eine Frage von Zeit, bis die Beobachtung nicht mehr zu gewaehrleisten ist. Salafisten Verfassungsschutz
AndreasBleckMdB15332867251;Mit Merkel den CSU-Wahlkampf zu bestreiten, ist wie mit dem Schwarzen Peter zu trumpfen. Die CSU laesst wirklich keine Gelegenheit aus, ihre Unglaubwuerdigkeit offen zur Schau zu stellen. Weiter so!
AndreasBleckMdB15822146621;Die AfD ist nicht gegen Migration. Bereits 2013 haben wir fuer ein Einwanderungssystem nach dem kanadischem Vorbild geworben. Selbstverstaendlich lehnen wir Gewalt gegen Auslaender und Migranten entschieden ab. Wir lehnen Gewalt grundsaetzlich ab.
Andreas_Rimkus15301861991;Andreas Rimkus holt Bundeszuschuss in Hoehe von 3,6 Millionen Euro fuer die Sanierung des Schauspielhauses nach Duesseldorf Grossartige Entlastung fuer den staedtischen Haushalt! via
Andreas_Rimkus15320736911;...gestern gelungener Start meiner Sommertour in der Arena - die Vorbereitungen fuer die 1. Liga laufen auf Hochtoren...trefft mich naechste Woche unter anderem auf Schloss Benrath...
Andreas_Rimkus15326710281;Duesseldorf im Sommer Andreas Rimkus on Tour Zum Sommer von Andreas Rimkus gehoert die Sommertour, in dem er seine Arbeit als Bundestagsabgeordneter mit dem verbindet, was in seinem
Andreas_Rimkus15472371971;...nach diversen Neujahrsempfaengen Klausursitzungen Fachgespraechen und Bueroarbeit wartet nun die Organisationspolitische Kommision beim Parteivorstand der SPD...der kroenende Abschluss der ersten Woche im neuen Jahr wird morgen unsere Karnevalssitzung in Duesseldorf...
Andreas_Rimkus15569724781;...was fuer ein Tag...morgens Hagel in Bilk mit dem SPD-Ortsverein Freilichtbuehne im Wahlkampf fuer Europa...mittags beim Europatag auf dem Marktplatz vor dem Duesseldorfer Rathaus...gewaehlt
Andreas_Rimkus15572968831;...Honigkuchtag...heute treffe ich Alexander Gerst, genannt Astro-Alex...er ist ein toller Mensch und Forscher, ihm liegen besonders die Kinder und Jugendlichen am Herzen...er naehrt in ihnen im besten Sinne die Sehnsucht nach dem weiten Meer...ESA...DLR...Raumfahrt...
Andreas_Rimkus15672797391;...die kommunale Internationale ist international in der Kommune zuhause...heute in Duesseldorf...Buergermeister*innen aus fuenf Kontinenten...Familienfoto...besonderer Dank geht ans Team Internationale Beziehungen um Jessica Breitkopf......OBThomas Geisel...livingtogether
Andreas_Rimkus15700883611;...den Tag der Einheit in Madrid mit Ministerinnen, Abgeordneten und Vertretern der Wirtschaft und Zivilgesellschaft und unserem Botschafter zu verbringen ist kein schlechtes Los...gemeinsamstark...Tagder Einheit...Madrid...Wirtschaftsund Energie Ausschuss...Delegation...
Andreas_Rimkus15701084601;...im spanischen Parlament treffe ich mit Freunde aus der europaeischen Sozialdemokratie...Manuel Gabriel Gonzlez Ramos und Valentin Garcia Gmez von der PSOE sehen wie wir die Notwendigkeit fuer verstaerkte Zusammenarbeit in Europa...gemeinsamstark...Freundschaft...
Andreas_Rimkus15757450411;...und ein gutes Signal fuer eine Wasserstoffwirtschaft H2 daserste Element...mein Signal an die dunkle Seite: ohne Wind und Sonne kein H2, ohne H2 keine E-Fuels...habt ihr verstanden?...
Andreas_Rimkus16040190671;...Klartext...AHAL und Hygienekonzepte sind allemal besser als Partykeller...wer dennoch den Lockdown bestellt muss ihn auch bezahlen...sagt nicht nur mein Gastwirt...sondern auch Vizekanzler
AndrejHunko15232515951;Auch die EU hat Bedenken gegenueber dem politisierten, militarisierten Inlandsgeheimdienst der Ukraine: (PDF) Die EUAM-Mission legte ein Konzept fuer den Umbau des Dienstes vor, das der ukrainische Praesident aber noch nicht genehmigt hat.
AndrejHunko15245479741;Bundesregierung unwillig zur Aufklaerung des US-Drohnenkriegs via Ramstein: Neuen Kenntnisstand gibt es trotz engen Austauschs mit US-Partnern zur Rolle des Luftwaffenstuetzpunkts und zum Einsatz von Drohnen nicht. Ich frage dazu seit Jahren regelmaessig.
AndrejHunko15257749631;Der Heimatschutz zum sogenannten Bundeshack: Modus operandi, technische Merkmale sowie Opferflaechen sprechen mit hoher Wahrscheinlichkeit fuer Urheberschaft der Angriffskampagne SNAKE. Man koennte auch sagen: Digitale Kaffeesatzleserei. IVBB
AndrejHunko15265571781;Uebrigens: Die USA sanktionieren die EU-Energiebeziehungen zu Russland und Iran, dafuer bieten die EU-Staatschefs ihnen gestern in Sofia an, dass die USA einfacher US-Fracking LNG in die EU importieren koennen... nicht zu fassen.
AndrejHunko15276616261;Unglaublich starker Offener Brief der Eltern von Anna Campbell und Haukur Hilmarsson, die beide im Kampf um Afrin gestorben sind: Die Ueberreste der beiden bleiben verschollen. Was tut das
AndrejHunko15277511571;Am 11. Juni haben wir ukrainische Journalisten, Politiker und Menschenrechtler zur Konferenz Menschenrechte und Medienfreiheit in der Ukraine. Die Straffreiheit unter der Poroschenko-Regierung muss ein Ende haben! Babtchenko
AndrejHunko15298680861;Waehrend Orbn, Kurz und Merkel auf dem EUCO die europaeische Abschottung einfaedeln, faehrt zur Lifeline: Superwichtig, da gerade 1.000 Gefluechtete in Seenot sind. Die erreichbaren Haefen muessen geoeffnet bleiben!
AndrejHunko15300965671;Der Bundesinnenminister nennt private Seenotretter Shuttle zwischen Libyen und Suedeuropa. Das ist Identitaeren-Sprech und soll die neue rechte Achse Rom-Wien-Berlin zementieren. Der Mann gehoert sofort von Bord! Lifeline
AndrejHunko15306122571;Es ist also wahr: Die geheimdienstliche Counter Terrorism Group, an der auch das BfV teilnimmt, will mit bei der Entfernung von Internetinhalten und Gesichtserkennung zusammenarbeiten. Clubde Berne
AndrejHunko15318968951;Das forschte im Projekt Linked-Data-basierte Kriminalanalyse (LiDaKrA) an einer Auswertung offener Quellen im Internet. Die entwickelten Verfahren haetten nicht die fuer kriminalpolizeiliche Anwendungen notwendige Tiefe erreicht. Nun soll weiter geforscht werden. OSINT
AndrejHunko15319997851;Die Europaeische Union will den Zugriff auf Cloud-Daten stark vereinfachen, auch in den USA. Umgekehrt sollen US-Behoerden direkt bei europaeischen Providern Daten abfragen duerfen. Die Bundesregierung befuerwortet das: (PDF) e Evidence cloudACT
AndrejHunko15320817871;Es ist sehr erfreulich, dass der irrsinnige Haftbefehl gegen Carles Puigdemont endlich aufgehoben wurde. Wir haben von Anfang an eine politische Loesung in diesem Konflikt gefordert, der nicht mit dem Mitteln des Strafrechts zu loesen ist.
AndrejHunko15325182821;Bundesweit haben die Versammlungen der Seebruecke-Bewegung starken Zulauf gehabt. Ich freue mich deshalb auf die Demonstration Seebruecke - Schafft sichere Haefen! am Samstag in Aachen!
AndrejHunko15330360451;Sehr interessant! veroeffentlicht den Brief, mit dem sich die Bundesregierung bei der Regierung in Grossbritannien fuer die Knalltueten-Stellungnahme von Horst Seehofer zum Brexit entschuldigt:
AndrejHunko15337114581;Erstmals differenziert das die Zahlen zu Ausschreibungen nach Artikel 36 im Schengener Informationssystem fuer das heimliche Beobachten sowie die Durchsuchung von Personen (etwa bei einer Polizeikontrolle): (PDF) Datentoepfe sisII
AndrejHunko15342355211;Wir haben drei Anfragen zu Seenotrettung im Mittelmeer ans gestellt, im Fokus die Kooperation mit brutaler Kuestenwache in Libyen und deren toedliche Einsaetze:
AndrejHunko15361535131;Fuer unsere Veranstaltung kommende Woche eine Uebersicht zur Kriminalisierung ziviler Seenotrettungsschiffe und -organisationen im Mittelmeer. Lifeline Seefuchs Iuventa Sea Watch3 Sea Watch2 Sea Watch1 Moon Bird Colibri Seebruecke
AndrejHunko15372469681;Die Bundesregierung unterstuetzt neuerdings offen den Import von LNG und Fracking-Gas u.a. aus Goldboro Kanada und ein Terminal in Brunsbuettel Ich frage nach den Details:
AndrejHunko15390113661;Russland koenne das Krim-Szenario im Baltikum wiederholen, wurde in Nato-Kreisen oefter geaeussert. Nun wissen wir, das ist so hypothetisch, dass sich eine Antwort nicht lohnt. Telepolis zu unserer Kleinen Anfrage:
AndrejHunko15393288701;Der Test am Berliner Bahnhof Suedkreuz zeigt laut dem eine hohe Quote falsch erkannter Personen. Jetzt will das die Technik verbessern. Wohl weil sie keine Lobby haben, trifft die biometrische Suche auf EU-Ebene vor allem MigrantInnen.
AndrejHunko15394436411;Es geht nicht um Nation, sondern gegen Chauvinismus und Rassismus und fuer Menschenrechte fuer alle. unteilbar
AndrejHunko15397565891;Im erklaeren Hendrik Pekrek und wie es gelingt, Interpols Strukturen in den Dienst politischer Repression zu stellen: Nicht im Artikel steht, wie das ebenfalls eine politische Agenda verfolgt:
AndrejHunko15425629981;Lorenz Goesta Beutin zum Krieg um Erdgas: Unter dem Strich ist es unverantwortlich, dass bei der Foerderung von LNG-Terminals fuer die Bundesregierung Klima politische Aspekte keine Rolle spielen.
AndrejHunko15426259391;Ruestungskonzerne und Drohnenhersteller aus Israel nehmen am EU-Forschungsprogramm Horizon2020 teil und exportieren nach Europa. Wir fragen deshalb zur militaerischen und polizeilichen Zusammenarbeit mit Israel: (PDF)
AndrejHunko15426328311;Eine harte Haltung in Bruessel fuehrt auch dazu, dass ein No-Deal-Szenario droht. Meine PM zum EU-Ministerrates zum Brexit: Eine verantwortungsvolle EU-Politik wuerde die Zeit bis Dezember nutzen, um nachzuverhandeln und offene Punkte zu klaeren.
AndrejHunko15433897471;Heute kommt die Europol-Direktorin in den Innenausschuss. Die Entschluesselungsplattform muss dort Thema sein. Nach derzeitigen Plaenen koennte die Agentur auch ohne Beteiligung von Mitgliedstaaten entschluesseln. Dies widerspraeche den EU-Vertraegen.
AndrejHunko15451400051;Das arbeitet mit dem Inlandsgeheimdienst (ISA) in Israel zusammen. Themen u.a. Verarbeitung personenbezogener Daten, Austausch zu Ermittlungstechniken, forensische sowie technische Entwicklungen und Methoden. Man kauft auch bei Cellebrite:
AndrejHunko15451429641;Unsere Kleine Anfrage zu Einreiseverboten durch die ukrainische Regierung: Wir fragen darin auch nach der Todesliste der Internetseite Myrotworez, die vom Innenminister der Ukraine und dem Geheimdienst SBU unterstuetzt wird. Ich stehe auch darauf.
AndrejHunko15486797811;Die juengste Drohung der USA an Venezuela erinnert an den Putsch 2014 in der Ukraine. Auch damals wurde die Regierung gewarnt, nicht mit Gewalt gegen die Proteste vorzugehen. Die Gewalt wurde dann bewusst provoziert, um einen Anlass fuer den Umsturz zu bieten (1/4)
AndrejHunko15492739151;Das hatte das BMVg frueher anders dargestellt: kann verlangen, die Drohnen der Bundeswehr in Afghanistan und Mali selbst zu starten und zu landen. Begruendung: Training und Lizenzerhalt fuer die 15 in Israel an der Heron 1 ausgebildeten Airbus-Piloten.
AndrejHunko15495328391;Europaeische Gendarmerien sind vom Militaer ausgebildete Polizeitruppen. In Lowlands Grenade trainieren sie Einheiten afrikanischer Laender (und der Ukraine) zur Haeuserraeumung: Das wirft Fragen auf. Wer waren die anwesenden Beamten aus den USA? EUROGENDFOR
AndrejHunko15498916201;Im Rahmen des Programms Alliance Ground Surveillance stationiert die NATO fuenf Riesendrohnen des Typs Global Hawk in Sigonella (Sizilien). Sie sollen dann (wie derzeit zwei US-Drohnen) an der russischen Grenze spionieren. Dazu unsere Kleine Anfrage:
AndrejHunko15502226351;Das teilt mit: Die im Sommer mit viel Populismus von der Achse Rom-Wien-Berlin vorgetragene Idee von Ausschiffungszentren in Nordafrika war eine Luftnummer. Vielleicht haben sie in der EMRK nachgelesen? Festung Europa
AndrejHunko15504895091;Erst kuerzlich haben die EU und die NATO ein militaerisches Manoever gegen Desinformation abgehalten: Dort wurde auch gegen globalisierungskritische Netzwerke geuebt. Zukuenftig koennte dort auch Friday For Future im Fokus stehen.
AndrejHunko15507432341;In der Fragestunde des Bundestages habe ich gestern mit die Instrumentaliserung humanitaerer Hilfe fuer Venezuela thematisiert. UNO Rotes Kreuz sind vor Ort, aber die Bundesregierung will die angekuendigten 5 Mio. weiter zurueckhalten.
AndrejHunko15517881001;Macron laedt heute zur Eroeffnung seiner Geheimdienst-Akademie nach Paris. schreibt, dass auch deutsche Dienste teilnehmen: Ich vermute, dass auch der BND am Start ist. Denn europaeische Inlandsdienste treffen sich bereits im Format der CTG.
AndrejHunko15524664901;Nicht nur bezogen auf Artikel13 drohen Uploadfilter, die EU beraet ausserdem zur vorauseilenden Loeschung terroristischer und extremistischer Online-Inhalte. Auch hier sollen die Provider entscheiden, was offline geht. Unsere Anfrage dazu:
AndrejHunko15526557901;Zynismus pur: Bundesregierung redet unablaessig von humanitaerer Krise in Venezuela, aber beim US-Erdoelembargo sieht sie offenbar keine Probleme. Es duerfte die Krise massiv verschaerfen, da Venezuela fast komplett von Oelexport abhaengt. Sanktionen
AndrejHunko15529038361;Die EU schiebt niemals Gefluechtete nach Libyen zurueck, schreibt die Dieser Faktencheck ist nicht einmal die halbe Wahrheit. Man bildet mit der libyschen Kuestenwache und Seepolizei Handlanger aus, um diese Drecksarbeit zu erledigen.
AndrejHunko15549650071;Was das hier auch sagt: Das (frueher unter Maassen, jetzt Haldenwang) steht stramm hinter Strache und Kickl. Anderslautende Statements von Politikern aus Oesterreich werden zu Fake News erklaert. Ungeheuerliches Verstaendnis von Kontrolle durch Parlament, Medien!
AndrejHunko15553935281;Heute reise ich nach Caracas, um mir ein Bild von der Lage in Venezuela zu machen und Gespraeche mit Akteurinnen und Akteuren zu fuehren. Meine Hauptinteressen sind die humanitaere Situation Moeglichkeiten fuer eine friedliche Loesung der politischen Krise.
