doc_id;username;retweet_count;favorite_count;full_text;label;topic
23676;karl_lauterbach;336;2265;Den Pandemie-Notfall fuer beendet zu erklaeren waere Fehler. Es setzt falsches Signal, wir haetten das Virus schon besiegt. Davon kann aber leider keine Rede sein. Fruehestens mit der Impfung ist der Spuk zu Ende. Mit jedem falschen Signal waechst der Leichtsinn;negative;Pandemie-Notfall
8796;karl_lauterbach;244;2209;(4) Ich bin immer wieder bestuerzt zu hoeren, wer sich alles einschraenken soll, fuer zB ein 1/2 Jahr, damit junge Leute feiern koennen oder Restaurants gefuellt sein koennen. Wir brauchen jetzt Disziplin und Solidaritaet. Keine Vorschlaege zur Ausgrenzung der Aelteren, Kranken und Armen;;
43491;GregorGysi;516;2156;Pfleger/innen leisten eine harte Arbeit und werden schlecht bezahlt. Das geht ueberhaupt nicht. Wenn wir das Problem loesen wollen, muessen wir erst einmal den Wert dieser Arbeit erhoehen. Da gehts auch nicht um 5 oder 10  Prozent mehr Lohn, da gehts um eine Verdopplung. @ZDF;negative;Pfleger/innen
4084;karl_lauterbach;218;2114;Die Menschen in Deutschland ruesten sich fuer Coronavirus und die Regierung versucht im Konflikt Tuerkei Syrien Frieden zu erreichen. Sie nutzen jede Krise fuer Ihre Luegen und Hetze und zeigen nie Anstand oder Solidaritaet. Jede Krise ist Ihnen willkommen fuer Ihre Hetze. Wie niedrig;;
34666;karl_lauterbach;187;2048;Dass Lindner jetzt weiter Ramelow als Spalter diffamiert und Ratschlaege gibt, wer Thueringen regieren soll, zeigt: er hat nichts aus seinem Riesenfehler gelernt. Statt Demut und Groesse zu zeigen, macht er weiter Kampagne. Er spaltet selbst mehr als Ramelow;negative;Lindner
11803;GottfriedCurio;645;1837;Die AfD beantragt, endlich alle Asylkosten offenzulegen. Waehrend beim Baecker fuer jede Semmel ein Bon ausgedruckt werden muss, verschleiert die Bundesregierung jene Milliardenkosten, die durch Asylanten entstehen. Es ist an der Zeit, die Bundesregierung in die Bonpflicht zu nehmen!;;
15351;karl_lauterbach;187;1750;Ich teile die Kritik. Aber unser Land wuerde diese Kinder gerne aufnehmen. Die Buerger sind bereit dazu. Schaemen muessen sich DIE Politiker, die aus Angst vor der AfD die Kinder im Stich lassen. In der CDU. In der CSU. Nicht alle, aber zu viele. Fuer sie schaeme ich mich auch;;
35704;johannesvogel;198;1634;Als Kandidat der Mitte antreten zu wollen, war nachvollziehbar. Aber mit den Stimmen von Bjoern Hoecke  Co. gewaehlt zu werden, muss fuer jeden Liberalen schlicht unertraeglich sein. Fuer mich ist es das. Jetzt ist die Verantwortung, das klipp und klar zu stellen! Thueringen (1/2);;
22401;konstantinkuhle;252;1551;Bonhoeffer wurde am 9. 4. 1945 ermordet. Anne Frank wenige Wochen zuvor. Vielen Menschen waere der Tod erspart geblieben, wenn Nazi-Deutschland seine Gestaltungsmoeglichkeit ein paar Wochen frueher verloren haette. Die AfD steht in der Tradition der dunkelsten Stunde Deutschlands.;negative;AfD
56725;SWagenknecht;392;1551;Warum soll die EU kein Gas aus Russland beziehen duerfen waehrend die USA eine Rekordmenge an Oel aus Russland importiert? BuReg darf auf diese Heuchelei von Trump nicht hereinfallen. Fracking-Gas aus den USA ist eine teure und umweltschaedliche Alternative!;negative;Fracking-Gas
28142;karl_lauterbach;330;1520;(1) Es ist leider naiv zu glauben, dass sich das Virus in Deutschland anders im Herbst verhalten wird als in Frankreich oder Spanien. In Spanien sind schon wieder 60 Prozent Intensivbetten in betroffenen Regionen belegt. Jetzt muessen Feiern eingeschraenkt werden;;
38841;karl_lauterbach;121;1509;Ich schaetze Gerard Krause sehr. Trotzdem stimme ich hier nicht zu. Weshalb sollten wir mit Einschraenkungen warten, bis sich endlich die Intensivstationen fuellen? Mir genuegen schon die Infektionen und Erkrankungen auf dem Weg dorthin, um handeln zu muessen.;;
40023;karl_lauterbach;232;1431;USA steuern auf menschliche Katastrophe zu. Taeglich sterben schon etwa 1.000 an Covid-19. Das Rettungspaket der Wirtschaft laeuft aus obwohl die Pandemie noch unkontrolliert. Wegen laufender Kredite und Rechnungen muessen bald viele in riskante Arbeit zurueck, was Pandemie verstaerkt;negative;Covid-19
838;alice_weidel;340;1373;Konjunkturpaket: Die geplante Mehrwertsteuersenkung ist doppelt zu kurz gesprungen. Der Schritt von 19 auf 16 Prozent ist zu gering, um nachhaltige Wirkung zu entfalten und die Befristung ist erst recht unsinnig. Die AfD fordert eine dauerhafte Senkung auf 12 Prozent bzw. 5 Prozent!;negative;Mehrwertsteuersenkung
30884;karl_lauterbach;227;1302;Pro Tag werden zwischen 300-400 Faelle bekannt. Mit einer bis zu 10 fachen Dunkelziffer ist klar, dass auch in Deutschland die Pandemie weiter sich ausbreitet. Da es aber an Superspreader Gelegenheiten fehlt, Ausnahme zB Fleischfabriken oder Gebetshaeuser, ist die Lage kontrolliert;;
15527;MAStrackZi;159;1259;1/x: Meine Damen Herren, Sie sehen an Herrn Breuer hier ein Paradebeispiel dafuer, wie Hetze, Halbwahrheiten  Luegen politischen Diskurs insbesondere auf Twitter vergiften. Denn was nicht ins eigene Weltbild passt, darf nicht sein. Insbesondere im Wahlkampf. Nun zum Inhaltlichen:;negative;Breuer
4983;cem_oezdemir;107;1245;Diskussionen um den Stammbaum kenne ich aus der Tuerkei gegenueber Christen  Juden - stets ausgrenzend gemeint. Es ist Wasser auf die Muehlen von Nationalisten  Islamisten, die den Jugendlichen hierzulande einreden wollen, dass sie - egal was sie tun - nie dazugehoeren werden.;;
36105;karl_lauterbach;299;1187;Das geht in der Diskussion 2. Welle der Coronakrise in den USA fast unter, ist aber sehr wichtig: In Texas zB sind sehr viele Kita Kinder infiziert. Es gilt als sehr wahrscheinlich, dass sie an der Verbreitung der Pandemie ihren Anteil haben. Auch ErzieherInnen  stark betroffen;;
38097;Beatrix_vStorch;324;1159;Fluechtlinge: Menschen, die Hilfe suchen und dankbar dafuer sind? Fehlanzeige. Was sind das fuer Leute, die die notwendige Quarantaene missachten und die Polizei angreifen. Helfen sollten wir in der Welt den Armen  Schwachen und nicht den Gewalttaetigen. Suhl;negative;Fluechtlinge
18846;karl_lauterbach;276;1142;Man darf nie vergessen, dass Erwaermung an Polen schneller voran schreitet als auf Rest des Globus. Daher sind dort auch die ersten Kipppunkte zu erwarten, die dann aber zB ueber den Jet Stream bis zum Regenwald hinwirken koennen. Trotz Coronapause rasen wir weiter in Klimanotstand;;
19796;alice_weidel;233;1131;2/2 Es ist genau diese Art der politischen Ausgrenzung, die versucht eine komplette Partei samt ihrer Millionen Waehler ausserhalb des politischen Diskurses zu stellen und damit ein Klima foerdert, in dem sich Gewalttaeter ermuntert fuehlen gegen Repraesentanten der AfD vorzugehen.;;
10240;HeikoMaas;151;1099;Europa ist fuer mich nur Europa, wenn die Grenzen zwischen unseren Laendern offen sind. Als heute vor 35 Jahren Schengen unterzeichnet wurde, haben wir einen Riesenschritt nach vorne gemacht auf einem Kontinent, der jahrhundertelang von Kriegen beherrscht war. EuropeUnited;positive;Schengen
17826;GottfriedCurio;403;1092;Merkel beweist erneut, dass sie jenes Geld am besten mit vollen Haenden ausgeben kann, das nicht ihr eigenes ist. Ohne dass es im Bundestag diskutiert worden waere  oder ein Kabinettsbeschluss vorlaege , will sie 135 Mrd.  verschenken. corona eurobonds;;
21747;karl_lauterbach;168;1021;CO2 Emissionen steigen schon wieder obwohl die Corona Pandemie weltweit noch waechst. Europa muss als Vorreiter der Energiewende jetzt das Green Deal Konjunkturpaket beschliessen. Wenn in 10 J der CO2 Ausstoss nicht massiv sinkt kippt das Klima dauerhaft ;;
40815;karl_lauterbach;51;999;(4) Da eine Impfung grosser Teile der Bevoelkerung erst im Laufe 2021 zu erwarten ist sollte die Moeglichkeit geschaffen werden, dass im Abstand von 30 min in Klassen und Bueros fuer 10 min gelueftet wird. Wo das nicht geht sollten mobile Filteranlagen angeschafft werden.;;
43110;EskenSaskia;102;982;Die gefluechteten Menschen in Moria sind verzweifelt, sie leben auf der Strasse, haben das letzte Hab und Gut verloren und wissen nicht, wie es weitergeht. Ich habe jedes Verstaendnis dafuer, dass sie gegen diese katastrophalen und unwuerdigen Bedingungen friedlich protestieren.;;
33767;karl_lauterbach;129;978;Eine sehr interessante Studie aus den USA weist darauf hin, dass chronische Aspirin Einnahme das Risiko von Tod und Beatmung bei Covid deutlich senken koennte. Die Ergebnisse sind so klar, dass sogar eine randomisierte Studie zur Bestaetigung sinnvoll waere. ;positive;Studie
9258;EskenSaskia;94;917;Ich bin mir mit @baerbelbas vollkommen einig, und ihr Statement macht das voellig klar, dass ein Immunitaetsausweis fuer covid19 voellig undenkbar ist, solange Immunitaet wissenschaftlich nicht gesichert ist und auch nicht anders als durch gezielte Ansteckung erlangt werden kann.;;
36152;karl_lauterbach;74;901;(3) Wenn auf grossen Plaetzen Juengere ohne Abstand bei Alkohol feiern muss auf diesen Sammelplaetzen Maskenpflicht eingefuehrt werden. Auch Bussgelder gehoeren dazu. Der gesundheitliche Schaden und die Gefahr fuer Wirtschaft sind zu gross. Einige Wenige duerfen nicht 2.Welle lostreten;;
26480;ABaerbock;90;807;Es ist unwuerdig, dass die GroKo seit 2013 bei der  Wahlrechtsreform nichts hinbekommen hat und auf den letzten Metern eine Scheinloesung vorlegt. Es schadet demokratischer Politik, wenn @cducsubt fuer eigene Vorteile kaempfen anstatt im Gesamtinteresse des Landes zu handeln.;negative;Wahlrechtsreform
22157;HeikoMaas;145;778;Die Worte von Martin Luther King bleiben aktuell. COVID19  bedroht nicht nur Leben, Gesundheit und Wohlstand, gerade der Schwaechsten. Das Virus naehrt auch Rassismus und Antisemitismus weltweit. Dabei ist Zusammenhalt gerade jetzt wichtiger denn je. BlackLivesMatter (1/2);;
53724;KonstantinNotz;63;758;Wenn CDU-Abgeordnete jetzt eine Verlaengerung der Weihnachtsferien fordern, meinen sie das fuer uns a l l e oder wirklich nur fuer Schueler*innen? Sollen die Kinder einfach bis Ende Januar zu Hause allein mit der PlayStation unterm Weihnachtsbaum sitzen bleiben?!;;
3990;karl_lauterbach;176;747;Weitere methodisch saubere Studie zur Ansteckung von und durch Kinder aus London, internationale Daten. Kinder infizieren sich halb so oft und haben in 80 Prozent kaum Symptome. Ihr Beitrag zur Pandemie scheint tatsaechlich geringer als fruehere Studien anzeigten;;
30836;karl_lauterbach;117;747;Heute ueber Impfkonzepte oder Impfpflicht zu reden  erweckt den Eindruck, die Impfung stehe kurz bevor. Das macht leichtsinnig und ist falsch. Wir wissen heute nicht einmal sicher, OB es eine wirksame Impfung fuer alle gibt, oder zB nur fuer Risikopatienten ;negative;Impfkonzepte
17396;Beatrix_vStorch;151;717;Nach Thueringen jetzt also auch hoechstrichterlich in Brandenburg: Die Paritaet und damit die Geschlechterapartheid ist tot und das ist auch gut so. Der Staendestaat kannte Gruppenrechte. Das haben wir heute ueberwunden. Gott sei Dank! Frauenquote ist Mittelalter. Meine Rede dazu:;positive;Frauenquote
24320;PaulZiemiak;83;716;Heute waere Walter Luebcke 67 Jahre alt geworden. Er fehlt uns, am meisten seiner Familie und seinen Freunden. Sein Leben widmete er seinen Ueberzeugungen und seinen Werten. Fuer ihn war klar: Hass und Hetze duerfen in unserer Gesellschaft keinen Platz haben.;;
33174;DietmarBartsch;124;696;Es ist gut, dass die USA beim Truppenabzug nun Naegel mit Koepfen machen. Bitte, vergesst Eure Atomwaffen nicht! Bund und Laender duerfen keine Zeit verstreichen lassen, um eine sinnvolle und nahtlose zivile Nutzung der ehemaligen US-Stuetzpunkte zu ermoeglichen.;positive;Truppenabzug
23304;karl_lauterbach;86;691;(4) Es muss immer wieder betont werden: ob eine wirksame Impfung ueberhaupt kommt ist weiter unsicher. Sicher aber ist, dass diejenigen, die jetzt erkranken, ein Risiko tragen, zu versterben. Und viele werden auch nach der Genesung nicht geheilt sein und lebenslange Schaeden haben;;
12867;karl_lauterbach;62;686;(8) Trotzdem keine Entwarnung. Die Probleme von Schulen, Kitas, mehr Menschen im Innenraum ab Herbst sind ungeloest. Auch gibt es zu der Gefaehrlichkeit der Erkrankung, Behandlung und Impfung bislang leider kaum Fortschritt. Fortschritt nur bei Vorbeugung. Das muessen wir nutzen;;
40942;karl_lauterbach;74;686;(4) An Lotterie, wo Preis das Tragen von Masken und Abstand halten ist, und Strafe Tod oder dauerhafte Invaliditaet fuer bis zu 5 Prozent der Erkrankten, wuerde niemand teilnehmen. Nur durch Fehlinformation und Ignoranz ist das moeglich. Jeder, der verliert, bedauert Teilnahme spaeter;;
7812;PaulZiemiak;84;645;In Vilnius habe ich mich heute mit Svetlana Tsikhanouskaya ueber die Situation in Belarus ausgetauscht. Sie steht fuer den Mut von hunderttausenden Menschen in belarus, die fuer ihre Freiheit auf die Strasse gehen. Eines ist klar: Die Wahlen in Belarus waren weder frei noch fair!;;
936;karl_lauterbach;45;620;(3) Es fehlen auch die Mitarbeiter in Gesundheitsaemtern. 20.000 Faelle/Tag koennten wir niemals aufarbeiten. Wir muessten quasi so viele Leute in Quarantaene schicken, dass es wie ein 2. Lockdown wirken koennte. Auch der regulaere Schulbetrieb wuerde staendig unterbrochen. Was tun?;;
10382;karl_lauterbach;113;617;Alles nur rhetorische Erfolge bisher. Und noch ist keinerlei Trendwende in Sicht. Bedeutung des Klimawandels als politisches Thema wird eine Dimension annehmen, die sich heute noch niemand vorstellen kann. Spaetestens dann, wenn klar wird, dass keine Erfindung das Problem loest;;
2336;larsklingbeil;55;614;Flagge zeigen fuer gleiche Rechte  egal wen man liebt   Wir treten ein fuer eine offene und tolerante Gesellschaft und sind an der Seite derer, die heute am GlobalPrideDay ein Zeichen setzen gegen die Diskriminierung von Minderheiten.   GlobalPride pride pride2020 csd2020;;
41702;martinarenner;148;609;Das sind ziemlich genau die beiden Studien, die Seehofer vor zwei Wochen vor Presse und im Innenausschuss ankuendigte. Die von Fachleuten und Opposition geforderte Rassismus-Studie wird es demnach nicht geben. Und fuer was hat @spdde jetzt den Deal mit Staatstrojanern gemacht?;;
53964;JoanaCotar;210;608;Wieviel Anzeigen muesste wir von der AfD dann wohl schreiben? Was fuer Heuchler! Wenn es sie selbst betrifft, ist das Geschrei gross. Wenn aber dazu aufgerufen wird, AfD-Veranstaltungen zu stoeren, dann wird das von genau diesen Leuten gefeiert. Spahn CDU ;negative;AfD
40400;karl_lauterbach;69;586;Das Verhalten der CDU beschaedigt das Ansehen der Partei. Ein so transparentes Gerangel um Mandate und Macht, einschliesslich des verlogenen Paktes mit der AfD, muss aus Berlin beendet werden. Das hatte die CDU im Koalitionsausschuss zugesagt und muss sein;negative;CDU
53896;jensspahn;62;586;Der Handschlag mit Hoecke ist ein fatales Signal. Es darf keine Regierung geben, die von diesem Radikalen abhaengt. Ein geordneter Prozess zu Neuwahlen ist der richtige Weg nach vorn. All unsere Energie muss jetzt darauf zielen, das Vertrauen in die demokratische Mitte zu staerken.;negative;Hoecke
4080;karl_lauterbach;64;581;(3) Wenn ein Kind oder Lehrer erkrankt muss die Klasse fuer 1 Woche in Quarantaene. Sonst kann die Klasse Beginn einer Superspreader Kette werden. Die Klassen sollten dich nicht mischen. Weder im Unterricht noch privat. Ausserdem sollten Lehrer 2x/Woche getestet werden.;;
24894;cem_oezdemir;92;536;DITIB steht unter der Kontrolle eines Praesidenten, der alles daran setzt, Demokratie  Rechtsstaatlichkeit in der Tuerkei zu Fall zu bringen - und auch bei uns sein Gift streut. An hessischen Schulen hat er nun endlich keinen Einfluss mehr! @gruenehessen;;
10259;niemamovassat;195;502;Die Lage in Moria auf Lesbos ist dramatisch. Die Essensversorgung fuer Kinder u. Jugendliche ist auf 1000 Kalorien reduziert. Wasser massiv rationiert. Die Menschen sind Angriffe von Faschisten immer mehr hilflos ausgesetzt. HOLT DIE LEUTE DA RAUS! savethem;negative;Moria
36239;katjakipping;97;496;Wie oft noch will die Tuerkei den Nordirak bombardieren? Wie oft noch will die Bundesregierung schweigen, wenn Erdogan die jezidische und kurdische Bevoelkerung terrorisiert? Es ist nur noch beschaemend, wie wenig die Rechte der Jeziden und Kurden im Kanzleramt zaehlen.;negative;Tuerkei
43404;karl_lauterbach;45;469;(3) Sonst droht Chaos, weil Lehrer und Eltern ueberfordert sind. Auch Aerzte wissen nicht, was sie tun sollen. Und wenn wir im Herbst Lehrer, Pflegekraefte, Reisende und Symptomtraeger testen wollen reicht PCR Kapazitaet nicht aus. Es muss eine Priorisierung geben, die jeder kennt;;
46104;karl_lauterbach;96;421;Wer zu Hause bleibt: 1) Schuetzt sich und die Menschen, die er liebt 2) Aeltere, Kranke und auch Juengere (die oft auch sehr schwere Schaeden erleiden) 3) diejenigen, die in der Klinik ihr Leben riskieren um andere zu retten. StayHome ist cool, schlau und zeigt Charakter;;
42258;LindaTeuteberg;50;402;Gewaltexzesse wie in Stuttgart sind Symptom zunehmender Missachtung des staatl. Gewaltmonopol|s, fuer dessen Durchsetzung Polizisten die Knochen hinhalten  dafuer Respekt  Rueckhalt verdienen. Es geht um die Staerke des Recht|s statt eines vermeintlichen Rechts des Staerkeren.;;
1117;niemamovassat;77;401;(1) Die neue Verachtung gegen die Wissenschaft, die man von Kubicki, Laschet und Coronaleugnern hoert ist brandgefaehrlich.   Da braut sich eine Melange zusammen: Auf der Strasse die Leugner, in politischer Verantwortung Leute, die es befeuern und die Ignoranz praktisch umsetzen.;negative;Leugner
3561;MiRo_SPD;54;394;Fehler werden gemacht. Irrtuemer begangen. Aber Thueringen war geplant  orchestriert. Ein Super-GAU fuer alle anstaendigen Demokratinnen  Demokraten. Ob es weniger schlimm als zu erwarten wird, liegt in den Haenden von CDU  FDP. Bitte zieht die notwendigen Konsequenzen. Sofort!;;
48541;karl_lauterbach;23;391;(2) Teil 1: Aeltere infizieren sich bei Juengeren, die asymptomatisch und infiziert sind, werden wir in den naechsten 4 Wochen erleben. Teil 2: ein kleiner Teil dieser Aelteren kommt auf Intensivstation, wo man in 25 Prozent der Faelle nach 4 Wochen stirbt. Da wir derzeit viel draussen sind:;;
56205;karl_lauterbach;73;381;Hier eine Studie vom KIT zu Luftfiltern und Aerosolen im Klassenraum. Achtung: die Studie wurde vom Hersteller bezahlt. Ich halte die Ergebnisse trotzdem fuer korrekt. Eine so deutliche Senkung der Partikelzahl ist mit Lueften in der Praxis kaum zu erreichen;;
42393;niemamovassat;105;380;Erinnert ihr euch noch, wie viel Spenden es gab, als NotreDame durch einen Brand zerstoert wurde?  Ja, genau, 850 Mio. Euro.  Waeren die Menschen in Moria doch einfach eine alte christliche Kathedrale. Dann wuerden sie gerettet werden.  SeehoferRuecktritt WirHabenPlatz;;
11944;jankortemdb;71;377;Ist Habeck Gott? Ich weiss naemlich nicht genau, wer fuer das Verbrechen an Nawalny verantwortlich ist. Das Prinzip Erst bestrafen, dann aufklaeren verfolgen ja sonst eher wuetende Mobs mit Mistgabeln in der Hand. Oder Gruene, die sich der Union anbiedern.;;
44499;DietmarBartsch;85;373;Jede/r Dritte, die/der 40 Jahre und laenger eingezahlt hat, erhaelt weniger als 1.000 Euro Rente. Die sogenannte Grundrente reicht nicht. Wir brauchen eine grosse Rentenreform gegen zunehmende Altersarmut, hoehere Loehne und einen Mindestlohn von 12 Euro. @tagesschau;;
35505;JoanaCotar;106;360;Die Bertelsmann-Stiftung hat im Moment keine anderen Sorgen, als die weitere Migration nach Deutschland zu fordern. Einziger Lichtblick: Auf die Frage am Ende das Artikels: Teilen Sie die Meinung des Autors sagen 2957 NEIN und nur 58 JA.  ;;
14949;karl_lauterbach;53;341;(2) Die Schulen haben eine fuer Aerosol SarsCov-19 Uebertragung leider geradezu ideal schlechte Luftqualitaet. Daher waere mE eine pragmatische Loesung: CO2 Ampel fuer Luftqualitaet, alle 30 min fuer 15 min Lueften, Umbau der Fenster wo noetig. Prof. Kriegel schlaegt Maske im Unterricht vor;;
47499;berlinliebich;162;337;Der Hauptaktionaer der Knorr Bremse AG, die gerade vom Staat unterstuetzt wird und trotzdem Dividende (an ihn) zahlt, heisst Heinz-Hermann Thiele und ist Milliardaer. Seit kurzem gehoert ihm 1/10 der Lufthansa, die Staatshilfen will.  Ist das noch Kapitalismus?;;
25883;EskenSaskia;17;334;Ich habe nur meine persoenliche Meinung geaeussert, und man kann das anders sehen, klar. Bund und Laender wollten zu weiteren Massnahmen am Sonntag eine abgestimmte Entscheidung treffen, bis hin zu Ausgangssperren. Eine solche Entscheidung wuerde ich selbstverstaendlich akzeptieren.;;
34774;karl_lauterbach;37;333;Juli Zeh stimme ich zu, dass der Staat nicht einschuechtern darf. Aber ich habe eher den Eindruck, dass er lange Zeit die Gefahr sehr sehr zurueckhaltend beschrieben hat. Ohne schonungslose Wahrheit koennen Buerger Einschraenkungen weder verstehen noch befolgen;;
703;cem_oezdemir;36;319;Hat die @cdu_hessen ihren Landtagsabgeordneten eigentlich mal gefragt, was er damals in der tuerkischen Tageszeitung Huerriyet alles geschrieben hat, zB ueber mich? Wie seine Haltung zum tuerkischen Nationalismus war? Wie er zur Armenienresolution des Bundestages steht? Bin gespannt;;
32067;MAStrackZi;34;316;1/4 Elf Tage vor der Kommunalwahl hat der WDR heute erstmals eine Umfrage fuer die OB-Wahl in Duesseldorf veroeffentlicht. Nach dieser Umfrage ist klar: Die Stichwahl wird kommen. Wir sind mit 17 Prozent, Stand heute, auf dem besten Weg dorthin.;;
16509;hubertus_heil;42;313;Am 8. Mai 1945, heute vor 75 Jahren befreiten die Alliierten Deutschland und Europa vom moerderischen Nazi-Regime. Es ist und bleibt unsere Verantwortung als Deutsche fuer Freiheit, fuer Demokratie und fuer den Frieden einzutreten. Gerade jetzt. Gerade heute. TagDerBefreiung;;
40508;karl_lauterbach;18;305;Lindner will sagen, dass wir weiter SUV fahren und Windraeder wie in NRW bekaempfen koennen. Denn wir verhandeln ja mit China. Natuerlich weiss auch er, dass China mit einem kleinen Land wie Deutschland keinen globalisierten C02 Markt verhandeln wuerde. Hauptsache Zeit gewonnen;;
8816;HeikoMaas;52;299;In ihrer groessten Krise mit fast 200000 Toten und einem historisch einmaligen wirtschaftlichen Absturz hat die vermeintlich zerstrittene und oft abgeschriebene EU sich und der Welt bewiesen, was Solidaritaet bedeutet. Habe das bei Botschafterkonferenz in Paris betont. EuropeUnited;positive;EU
27296;DietmarBartsch;68;289;Ja, Frau Merkel: Wenn wir uns dafuer entschuldigen muessten, in Notsituationen ein freundliches Gesicht zu zeigen, ist das nicht mein Land. Wir haben eine gewaltige Notsituation. Handeln Sie jetzt, wo Deutschland die EU-Ratspraesidentschaft hat - fuer die Kinder auf Lesbos. Moria;;
28463;karl_lauterbach;41;271;Das sehe ich auch so wie @ManuelaSchwesig Ein Ostbeauftragter der sich von Nazis tolerieren lassen will muss zuruecktreten. Die Nazi Diktatur hat zu einem Konsens der demokratischen Parteien gegen neue Nazis gefuehrt. Dieses Tabu wurde heute gebrochen. Hirte hat genau das begruesst;;
7396;karl_lauterbach;44;270;Lieber Christian @MdB_Stroebele Es waere auch medizinisch fahrlaessig mehr aeltere Menschen in Pflegeheime abzuschieben. Es gibt zu wenig Personal und die Pflegeheime sind heute leider eher Risikobereiche. Die ganze Diskussion um Absondern der Alten erinnert an ungute Zeiten bei uns;;
46583;karl_lauterbach;22;265;(2) Die Strategie zur Vermeidung grosser 2. Welle muss bei JEDEM Infizierten systematisch abfragen, ob er bei einer Superspreading Gelegenheit war als er hoch ansteckend war. Typischerweise 1-2 Tage vor Beginn der Symptome bis Tag 7. Danach meist nicht mehr.;;
5931;ABaerbock;35;261;Ja, Klima und Umwelt muessen nach oben auf die Agenda, konkret, jetzt, und nicht erst in ferner Zukunft. Deshalb gilt: aus x Pruefauftraegen im Konjunkturpaket Wirklichkeit machen und den Schalter klar umlegen, hin zu einer oekologischen Modernisierung.  Weltumwelttag;;
6684;JoanaCotar;82;261;Die Bundesregierung hat es wohl endlich geschafft, einen Vertrag mit SAP und Telekom zu schliessen. 20 Mio EUR soll die CoronaApp kosten, dazu kommen monatliche Kosten in Hoehe von 2,5 - 3,5 Mio EUR. Sehr viel Geld fuer ein Projekt, das nichts bringen wird. ;;
