name_matching;username;available;created_at;full_text;retweet_count;favorite_count;followers_count;location;label
Sven-Christian Kindler;sven_kindler;TRUE;2019-11-22 14:40:42;"Statt die Zivilgesellschaft zu stärken und für Rechtssicherheit bei der #Gemeinnützigkeit zu sorgen, will @OlafScholz ihr weitere Knüppel zwischen die Beine werfen. Der Entwurf zielt auf eine Entpolitisierung der Zivilgesellschaft. Und das in diesen Zeiten
https://t.co/95nUveedFW";30;68;15868;Hannover, Deutschland;negative
Ute Vogt;utevogt;TRUE;2019-10-18 13:49:02;Danke @hubertus_heil Es war schwer auszuhalten was die AfD hier geboten hat. Genau solche Hassreden sind der Nährboden für Gewalt in unserem Land. #Niewieder ! https://t.co/veYOTndV8H;4;26;4572;Stuttgart;negative
Norbert Rottgen;n_roettgen;TRUE;2020-07-26 11:49:43;"Was wir in #Stuttgart &amp; #Frankfurt erlebt haben, sind junge Männer mit extremer Gewaltbereitschaft. Hier tut sich ein Riss in der Gesellschaft auf, den wir nicht durch deplatziertes #Polizei Bashing überwinden, sondern durch Prävention, Polizeipräsenz &amp; Strafverfolgung. #Dreyer";34;217;31494;Berlin / Rhein-Sieg-Kreis II;negative
Daniela Ludwig;DaniLudwigMdB;TRUE;2020-06-09 12:14:11;"Unsere Eilverordnung kam zur rechten Zeit! Die Coronakrise bietet auch die Chance zur Weiterentwicklung der Substitutionstherapie. Diese Chance sollten wir nutzen! @BMG_Bund @Aidshilfe_de
https://t.co/i3Xz2FGwjz";1;6;6290;Rosenheim, Deutschland;positive
Frank Schaffler;f_schaeffler;TRUE;2019-11-27 11:36:07;Bisher hat die #Regierung viel Tam-Tam um ihre #Blockchain-Strategie gemacht, doch mehr als heiße Luft hat sie noch nicht produziert. #Bundestag https://t.co/NzCU5KT6sV;3;26;13335;Ostwestfalen-Lippe;negative
Jens Spahn;jensspahn;TRUE;2019-10-12 08:36:46;Bei der Migration müssen wir steuern und entscheiden, wer zu uns kommt. Gut ausgebildete Fachkräfte sind genau die Art Zuwanderung, die wir brauchen. Sie wollen mit anpacken! Das ist die Zuwanderung, die wir für eine gute Zukunft wollen u. vor allem brauchen. #DLT19 @Junge_Union;11;136;186823;Berlin;positive
Matthias Hauer;MatthiasHauer;TRUE;2020-04-16 11:02:25;Vorsicht ist das Gebot - und nicht Übermut! Kanzlerin #Merkel erklärt klar und gut nachvollziehbar, warum der Reproduktionsfaktor nicht über 1 steigen darf. Ansehen! Schon bei 1,1 würde das #Gesundheitssystem im Oktober seine Grenze erreichen. #CoronaVirusDE #Corona #Coronavirus https://t.co/5LE7tNzKRR;4;37;9122;Essen;positive
Michel Brandt;michel_brandt_;TRUE;2019-07-26 16:11:54;Viel kaputter als #Salvini geht kaum. Jetzt weist er die eigene Küstenwache ab, weil sie Leben rettet. Es ist höchste Zeit Dublin 3 als gescheitert zu erklären. Die sogenannte Koalition der Willigen redet nur während täglich Menschen sterben. #safepassage https://t.co/RTlrYRjz9Y;16;37;3944;"";negative
Elvan Korkmaz-Emre;korkmazgt;TRUE;2016-09-08 19:32:53;Coole Aktion @nrwjusos! Soziale Zukunft gibts #nichtfürlau! Krass, welchen Hass sie auf sich ziehen. @Der_FrederiCo https://t.co/YKxIxBOvj2;0;6;1925;Gütersloh, Nordrhein-Westfalen;positive
Stephan Kuhn;stephankuehn;TRUE;2020-10-17 07:02:15;"Auch 5 Jahre nach dem #Abgasskandal leidet die Aufklärung daran, dass die Abgastests ausgerechnet von jener Behörde durchgeführt werden, die durch ihre Kumpanei mit den Autoherstellern monatelang in den Schlagzeilen stand. Und #Scheuer tut weiterhin nichts
https://t.co/H0T3Cy3XJD";13;61;7218;Dresden;negative
Karl Lauterbach;karl_lauterbach;TRUE;2019-05-09 15:50:40;Bei von der Leyen versinkt das Ministerium offenbar im Chaos. Nur auf die Forderung nach mehr Geld bei jeder Rede kann man sich noch verlassen. Hoffentlich hat das bald ein Ende, das können wir uns nicht leisten. https://t.co/UbUh7v4YGo;11;73;268502;Berlin, Deutschland;negative
Erwin Ruddel;erwin_rueddel;TRUE;2018-11-17 21:41:07;Die „Eiermänner“ sind nun seit 33 Jahren im Karneval aktiv. Herzlichen Glückwunsch und Dank für die Pflege unseres rheinischen Brauchtums. https://t.co/fki2wpbtXI;0;1;4402;Windhagen, Kreis Neuwied;positive
Olav Gutting;olavgutting;TRUE;2019-10-30 14:55:38;@SpardaVerband Zukunftsrat. #Verbraucherschutz und #Nachhaltigkeit sind bei #Genosswnschaftsbanken in der DNA https://t.co/n1xzQ4CNzH;0;0;2950;Bruchsal-Schwetzingen, Berlin;positive
Sebastian Munzenmaier;s_muenzenmaier;TRUE;2020-05-26 16:38:07;"Keine klare Linie, keine klare Haltung. #Merkel-Gäste dürfen dank der völlig planlosen #Abschiebepolitik bleiben. Und wir stellen wieder einmal fest: Deutschland hat ein (Nicht-)Abschiebeproblem!

https://t.co/MSgB3EA6mP

TM
#NieMehrCDU";1;9;5132;Deutschland;negative
Sybille Benning;SybilleBenning;TRUE;2017-07-09 14:59:44;Danke und Respekt allen Polizistinnen und Polizisten, die in Hamburg im Einsatz waren! /sb https://t.co/kTNnnrn06T;0;1;520;Münster, Deutschland;positive
Heiko Maas;HeikoMaas;TRUE;2017-05-05 13:22:02;Die Todesstrafe widerspricht allen unseren Vorstellungen von Menschenwürde. Niemand hat das Recht, Menschen als Strafe vorsätzlich zu töten. https://t.co/6USmMtcZiu;43;153;407934;Saarlouis/Berlin;negative
Johannes Huber;HuberMdB;TRUE;2020-03-01 13:54:57;Die deutsche Bevölkerung ist angesichts der Öffnung der türkischen Grenze und Coronavirus in höchster Gefahr. Aber wo steckt Merkel, wann wurde sie zuletzt gesehen und wird Deutschland überhaupt noch regiert? #IStandWithGreece;11;52;1880;"";negative
Niema Movassat;niemamovassat;TRUE;2020-06-25 16:00:10;"@DaniLudwigMdB @Paritaet @BMG_Bund @csu_bt @cducsubt Bin nur noch am Kopfschütteln. Sie reden von """"Schadensminimierung"""" und überlassen Suchtkranke dem Schwarzmarkt, auf dem jeder Müll verkauft wird. Sie sprechen von """"Dialog"""" und unterstützen die massive Strafverfolgung von Konsumenten. Was soll da der Dialog sein?!";14;64;19359;"";negative
Gotz Fromming;gtzfrmming;TRUE;2020-07-12 20:06:58;"Die Grünen wollen Ärzte zur Abtreibung zwingen, also Leben auszulöschen, statt es zu bewahren. 

Das pervertiert die ärztliche Ethik ins Gegenteil, wie sie im Eid des Hippokrates zum Ausdruck kommt. #Abtreibung https://t.co/tlhbJ5D5aZ";15;73;14576;Berlin, Deutschland;negative
Saskia Ludwig;saskialudwig17;TRUE;2017-01-02 12:53:14;Auf keinen Fall darf es dieses neue Gesetz geben. Niemand hat das Copyright auf die einzig wahre Wahrheit! https://t.co/SqHHha6FSK;1;4;1339;Potsdam;negative
Manuel Hoferlin;ManuelHoeferlin;TRUE;2011-11-21 13:15:12;@pc_org @petertauber ich bin auch für ein intensiveres Miteinander in der digitalen Gesellschaft :-)))) #npk;0;0;6348;Rheinhessen und Berlin;positive
Kirsten Kappert-Gonther;KirstenKappert;TRUE;2020-09-30 08:29:04;Also, ich fand es schon sehr bizarr, dass gerade Christian Linder findet, es sei an ihm großspurig der Kanzlerin die Angemessenheit ihrer Rede zu attestieren. #bundestag;0;11;3612;Bremen, Deutschland;negative
Katja Suding;KatjaSuding;TRUE;2020-03-30 08:07:39;Ich starte nachdenklich in die Woche: Was ist das Leben wert, wenn wir uns die Freiheit zu leben nehmen lassen? #Coronakrise #Wochenstart;280;1781;12672;Hamburg;negative
Frank Schwabe;FrankSchwabe;TRUE;2019-09-07 19:35:56;Es ist ein gutes Zeichen, dass sich die Parlamentspräsidenten der #G7 Länder auf eine Erklärung zum Schutz der #Ozeane geeinigt haben. Wir müssen dringend den Fokus verändern. Die Ozeane sind nicht in erster Linie ein Wirtschaftsfaktor sondern ein Naturraum. #Meeresschutz;1;7;6664;"";positive
Caren Lay;CarenLay;TRUE;2018-02-21 13:46:37;"Die AfD will gleich im Bundestag über den rechten """"Frauenmarsch"""" debattieren. Schon wieder wollen sie Frauenrechte für ihren Rassismus instrumentalisieren. Ich spreche für die @Linksfraktion: Gib Hass keine Chance! @aufstehengegen @BBgegenRechts";40;210;9655;"";negative
Sabine Leidig;sabineleidig;TRUE;2017-08-09 14:08:02;Gute Idee von @DietmarBartsch: Das #VW-Landeseigentum in Belegschaftseigentum umwandeln. #Dieselskandal #dieselgate https://t.co/UEytWEJrD5;2;3;8304;"";positive
Beate Walter-Rosenheimer;beatewaro;TRUE;2016-07-03 06:41:42;Söders Tweet, auch wenn er ihn gelöscht hat, ist sogar der CDU peinlich... https://t.co/jGBervfJiU;5;4;2939;Dachau/FFB/München/Ingolstadt;negative
Gitta Connemann;gitta_connemann;TRUE;2020-08-30 09:41:11;Reichsfahnen vor dem Reichstag - gestürmt von Extremisten und Coronaleugnern. Die Koalition des Grauens. Jeder der Mitläufer muss dies bemerkt haben. Demokratie muss aushalten können. Aber das war ein Angriff mitten ins Herz von Feinden. Flankiert vom Versagen des Landes Berlin. https://t.co/HUJiclBep7;5;21;1649;Hesel, Deutschland;negative
Kai Gehring;KaiGehring;TRUE;2020-06-09 11:47:21;"Jahresbericht der @ADS_Bund zeigt: Starker Anstieg rassistischer #Diskriminierung in Deutschland. Dagegen können #LADG &amp; #Antidiskriminierungsstelle helfen, um nachhaltigen Schutz vor Ort auszubauen.
#Berlin macht's mit @Dirk_Behrendt &amp; @s_k_walter vor! https://t.co/2C5uKeaP4O";2;12;9471;Berlin/ Essen;negative
Jurgen Braun;JuergenBraunAfD;TRUE;2020-03-18 18:42:28;"@hajoschumacher Was tun Journalisten in einer Diktatur? Sie loben die Regierung und agitieren gegen die Opposition. 
#Merkel #Staatsfunk #ARDZDF";0;4;2946;Waiblingen, Deutschland;negative
Niema Movassat;niemamovassat;TRUE;2020-08-02 09:03:47;Die Berliner Polizei ist sehr effektiv. Wenn es gegen links geht. Den Kumpels im rechten Spektrum gegenüber ist man da...feinfühliger. https://t.co/V0q3gWg8UU;47;227;19359;"";negative
Tino Chrupalla;Tino_Chrupalla;TRUE;2018-12-11 22:56:04;"+++ Ja zu deutscher Wertarbeit - Ja zum Meisterbrief! +++
Am Donnerstag spreche ich im Deutschen Bundestag über die Wiedereinführung des Meisterbriefs.
#AfD https://t.co/xa4r2KqILv";7;25;10777;Sachsen;positive
Monika Lazar;monikalazar;TRUE;2018-08-24 22:36:15;@MiKellner es war heute eine sehr schöne, abwechslungsreiche und inspirierende Runde und hat viel Spaß gemacht! Ist eine gute Idee mit der #Ostkonferenz.;0;5;6055;Sachsen, Leipzig, Berlin;positive
Sevim Dagdelen;SevimDagdelen;TRUE;2020-03-27 13:04:51;"Während das Gesundheitssystem kollabiert, noch nicht einmal ausreichend Schutzmasken &amp; Atemgeräte gegen #Covid19 zur Verfügung stehen,ist es vollkommen irre, jetzt Milliarden für die Anschaffung neuer Kampfjets &amp; atomare (!) Rüstungsprojekte zu verprassen. https://t.co/6vF8d3zWYJ";50;141;33775;Bochum-Berlin;negative
Lisa Paus;LisaPaus;TRUE;2019-04-11 18:54:46;Ein Gericht hat geurteilt, dass todkranke Menschen Betäubungsmittel erhalten dürfen, um selbstbestimmt zu sterben. Aber #Spahn setzt das Urteil einfach nicht um. Das empört mich. Deshalb unterstütze ich die interfraktionelle Erklärung zur #sterbehilfe https://t.co/ksw8HBplvp https://t.co/DnZwD0mp7A;17;49;8719;Charlottenburg-Wilmersdorf;negative
Mechthild Rawert;MechthildRawert;TRUE;2017-07-13 11:04:44;Wir freuen uns auf das lesbisch-schwule Stadtfest in #Schöneberg #Motzstraßenfest mit Angelika Schöttler und Melanie  Kühnemann https://t.co/nvLuqxzgoU;7;17;2968;Berlin;positive
Marian Wendt;MdbWendt;TRUE;2017-10-20 12:42:23;Die Idee des Radwegs entlang der S31 unterstütze ich zum Ausbau der touristischen Infrastruktur und zur... https://t.co/gLDJNOR90p;0;1;2413;Nordsachsen/Berlin;positive
Bernd Riexinger;b_riexinger;TRUE;2020-03-25 15:40:44;Aber auch viele andere Beschäftigte brauchen #Schutzkleidung und #Lohnerhöhungen, mindestens aber #Gefahrenzulage statt schöner Worte. Das #Kurzarbeitergeld ist zu niedrig. Da haben viele Kolleginnen und Kollegen u.a. von @_verdi mit ihrer Kritik Recht! 3/6;0;6;37381;"";negative
Karl Lauterbach;karl_lauterbach;TRUE;2020-01-13 14:15:37;Ich bin der gleichen Meinung wie @c_lindner in dieser Sache, kommt nicht so oft vor. Aber Gesundheitsminister Spahn steht nicht über dem Gesetz. Er darf sich nicht als Herr über Leben und Tod inszenieren. Die qualvoll Leidenden haben ein Recht auf die Hilfe des Staates. https://t.co/lQEMjXsnJd;52;441;268502;Berlin, Deutschland;negative
Gyde Jensen;gydej;TRUE;2019-08-30 07:37:23;"Politik (@sozmiSH/@Heiner_Garg) trifft auf Realität:
Ein tolles Format mit ehrlichem Gespräch über die Zukunft einer immens wichtigen Berufsgruppe - Hebammen.
Danke an alle, die diesen Beruf wählen und Frauen vor, während und nach der Geburt unterstützen. https://t.co/ZsQbvlqeDu";0;4;8311;Kiel;positive
Karl-Heinz Brunner;brunnerganzohr;TRUE;2018-09-02 10:19:45;"Es ist unglaublich.
Auf unseren Straßen. Hohe Anerkennung für alle, die in diesen Tagen gegen die Nazis auf die Straße gehen.

#Chemnitz0109 #Chemnitz https://t.co/fu9mhGnM7p";1;14;1352;Illertissen, Deutschland;positive
Thomas Sattelberger;th_sattelberger;TRUE;2020-03-28 18:42:11;"Lieber @jensspahn: Du musst handeln!Realitätstaugliche Pläne für Produktion&amp;Lieferung von Masken&amp; Schnelltests. Auch @rki_de muss schleunigst Echtzeitdaten liefern. Nur so kann die Wirtschaft wieder angekurbelt werden! So wie jetzt kann's nicht weitergehen
https://t.co/5VmCoPG2Pb";49;217;13929;München;negative
Erhard Grundl;Erhard_Grundl;TRUE;2019-10-23 06:40:09;Dieser Satz ist eine Verharmlosung der Verbrechen der Nazis. Herr Blume ist der erfolgloseste @CSU-Sekretär aller Zeiten. Nach seinem Debakel beim jüngsten Parteitag probiert er es jetzt mit Anwanzen an die Relativierer des 3. Reichs. Ganz armselig! #niewieder https://t.co/9iNhPCTJ7N;2;12;1223;Straubing-Bogen, Bayern;negative
Bernd Riexinger;b_riexinger;TRUE;2018-05-15 18:31:33;"""""Milliarden für Panzer statt für Kitas"""" - so sieht die Prioritätensetzung der #Bundesregierung aus. Statt an der Aufrüstungsspirale mitzudrehen, soll sich die #GroKo lieber um die Menschen hier kümmern! https://t.co/PSgaXQ8nGx";32;87;37381;"";negative
Marja-Liisa Vollers;MarjaVoellers;TRUE;2018-10-13 09:52:57;Wir sehen gerade täglich: Demokratie und ihre Werte sind nicht selbstverständlich. Sie wollen immer wieder aufs Neue verteidigt werden. Deshalb unterstütze ich auch @Unteilbar_ #unteilbar #menschenrechte #demo https://t.co/fw8uZlgrvH;0;2;1530;Berlin / Schaumburg, Nienburg;positive
Lorenz Beutin;lgbeutin;TRUE;2020-09-29 09:53:01;"Die Beschäftigten im Nahverkehr sind #unverzichtbar, Ihnen gilt die volle Solidarität der @Linksfraktion meine ganze Pressemitteilung unter 👇🏽 #Streik #Warnstreiks
https://t.co/pQPmQj0xo1";10;53;5531;Kiel;positive
Bruno Hollnagel;DrHollnagel;TRUE;2020-07-19 09:19:14;Mit ihrer #Negativzins-Politik treibt die #EZB ein gefährliches Spiel. Sie suggeriert, das Geld würde reichen. Überfällige Lösungsansätze werden gar nicht erst gedacht. Das Experiment wird scheitern. Die Schäden werden die Vorstellungskraft übersteigen. https://t.co/F48aBgIWj5 https://t.co/HH8NEikPfC;2;4;668;Berlin, Deutschland;negative
Uwe Schulz;Uwe_Schulz_AfD;TRUE;2019-06-14 04:57:20;Die Regierung nutzt den nicht-menschengemachten #Klimawandel als Vorwand um eine neue Steuer einzuführen, die die menschengemachte Flüchtlingskrise gegenfinanzieren soll. Und wieder gibt es genügend Naive, die glauben, dass Sie was fürs Klima tun.;2;4;1248;Berlin, Deutschland;negative
Maik Beermann;MaikBeermann;TRUE;2018-03-21 11:02:33;Facebook muss hier klare Antworten liefern. Darum werden wir am Freitagmorgen in einer Sondersitzung des Ausschusses Digitale Agenda, kritische Fragen stellen. Demokratische Prozesse in solchem Maße zu beeinflussen geht gar nicht! #facebook #CambridgeAnalytica https://t.co/0erdnTDMB5;0;1;2609;"";negative
Christian Durr;christianduerr;TRUE;2020-08-27 08:20:09;Heute stellen wir unsere Klageschrift gegen den #Soli vor. Für uns steht fest: Über Steuerpolitik kann man streiten, über die Verfassung nicht! @florian_toncar @fdpbt https://t.co/4JokpOSVnS;30;239;4429;Berlin / Ganderkesee;negative
Filiz Polat;filizgreen;TRUE;2020-04-16 13:13:01;Großer Dank an Landrätin Anna Kebschull und die Verwaltung des @lkosnabrueck für die Solidarität mit den geflüchteten Kindern. Die Bundesregierung muss jetzt aber trotz und wegen der #Coronakrise mehr machen als diesen ersten kleinen Schritt. @vbajus https://t.co/QuTOM9VFHp;3;4;4335;Bramsche/Berlin;positive
Beatrix Storch;Beatrix_vStorch;TRUE;2019-10-05 09:37:19;Das ist Nötigung, gefährlicher Eingriff in den Straßenverkehr. Das trifft den ganz normalen Bürger, der zur Arbeit muss. #Extinction Rebellion führt Krieg gegen die arbeitende Bevölkerung. Das ist ein Angriff auf den #Rechtsstaat. https://t.co/Q3oOxbAJif;493;1708;59829;Berlin, Deutschland;negative
Oliver Luksic;olliluksic;TRUE;2020-06-18 08:15:12;Effektive Kontrollen statt pauschale Fahrverbote für alle Motorräder! Es reicht langsam mit den Verboten. https://t.co/v4QBf3i1B8;6;67;9624;Saarland, Berlin, Europa;negative
Karl Lauterbach;karl_lauterbach;TRUE;2020-06-29 07:37:42;Im Nachhinein scheint der lokale Lockdown in Gütersloh richtig gewesen zu sein. Da die Zahlen weiter über der vereinbarten Grenze liegen sollte er noch bestehen bleiben. Aber so ist der lokale Ausbruch beherrschbar und breitet sich wohl nicht weiter aus https://t.co/MNnaKYU1Kl;57;593;268502;Berlin, Deutschland;positive
Tabea Rossner;TabeaRoessner;TRUE;2019-04-28 07:31:45;Was für eine Realsatire. Und es zeigt, dass so manche das Denken ausschalten, wenn sie den Rechner einschalten. https://t.co/LkJAG1hZNr;3;6;8718;Mainz/Berlin;negative
Saskia Ludwig;saskialudwig17;TRUE;2020-10-26 12:37:07;In dieser Situation wäre eine Mitgliederbefragung nicht nur sinnvoll, fair und machbar, sondern auch basisbefriedend. https://t.co/23eL8mjKXJ;1;15;1339;Potsdam;positive
Saskia Esken;EskenSaskia;TRUE;2020-05-05 23:15:51;@Marc52089592 @ZDFheute @jensspahn Ich erwäge hier gar nichts. und das habe ich auch mehr als deutlich gesagt: Kein Immunitätsnachweis, solange die Immunität ungeklärt ist. Weit entfernt vom Eintrag in den Impfpass, solange es keine erprobte und gut eingeführte, für alle zugängliche, *freiwillige* Impfung gibt.;0;2;77726;Berlin / Nordschwarzwald;negative
Volker Ullrich;VolkerUllrich;TRUE;2015-08-19 15:33:50;Ja zu #Griechenland ist ein gutes Ergebnis. Wie könnten wir sonst glaubhaft machen, die größere Herausforderung #Asyl in #Europa zu lösen;3;3;3738;Augsburg und Berlin;positive
Paul Ziemiak;PaulZiemiak;TRUE;2019-02-11 16:37:45;Die #Werkstattgespräche haben meine Erwartungen übertroffen. Die Ergebnisse von heute sollen sich in unserem #Europawahlprogamm und im #Grundsatzprogramm wiederfinden. #CDUWerkstatt @CDU;7;50;37629;Germany;positive
Karl Lauterbach;karl_lauterbach;TRUE;2019-06-14 11:33:03;FDP verpestet die Luft indem sie ständig mit einem sinnfreien Plakat (No GroKo) um den Bundestag kreist. Ideenlose leicht schwachsinnige Aktion. Dabei hätte doch NUR die FDP die GroKo verhindern können, waren aber zu feige dafür. Nutzt wenigstens ein E-Mobil oder schleppt selbst! https://t.co/RMWiQtEotP;541;3655;268502;Berlin, Deutschland;negative
Mathias Stein;stonie_kiel;TRUE;2018-01-19 17:59:30;Ich habe unterzeichnet: Aufstehen gegen Rassismus! #aufstehen https://t.co/PXqkQZWfRe via @aufstehengegen;1;5;1516;"";negative
Martin Hess;Martin_Hess_AfD;TRUE;2018-09-04 16:59:56;"#Bundesinnenministerium und #BAMF tragen erhebliche Mitverantwortung für Tötung von #Daniel aus #Chemnitz. Jahrelang ließ man Migranten unbekannten Hintergrunds im Land, @BMI_Bund nahm Fachaufsicht über @BAMF_Dialog nicht wahr. Schluss mit diesem Desaster!
https://t.co/x8WLkiu3V7";5;18;6276;"";negative
Stefan Rouenhoff;StefanRouenhoff;TRUE;2019-03-03 16:57:58;Mit der neu gegründeten Projektgruppe „Zukunft und Innovation“ der @cducsubt Antworten auf grundlegende Zukunftsfragen entwickeln+dabei neue Wege gehen! Freue mich, i.d. Gruppe mitarbeiten zu können! #ThinkOutOfTheBox #Vorausdenken #InnovativeKonzepteEntwickeln #ZukunftGestalten https://t.co/19v8LJHD9C;2;32;788;Goch, Deutschland;positive
Marc Bernhard;MarcBernhardAfD;TRUE;2018-04-05 16:18:23;"#Bundeswehr am Ende! Von der Leyen als #Verteidigungsministerin untragbar! Setzt falsche Prioritäten. Anstatt Truppe aufzurüsten und Material zu modernisieren, wird #Schwangerenbekleidung für #Soldatinnen angeschafft. https://t.co/vP9e2zyRtZ
@AfDimBundestag @AlternativeBW https://t.co/HruWGG5jCQ";1;4;3786;"";negative
Victor Perli;victorperli;TRUE;2020-03-11 15:51:40;"Sehr erfreulich! Der Haushaltsausschuss hat heute rund 194 Millionen € für die Sanierung von 130 kommunalen Sport- und Kultureinrichtungen beschlossen. Als ich das Programm im September für 2020 forderte, war die CDU strikt dagegen, „weil Ländersache“.
➡️ Opposition hat gewirkt!";22;90;4670;Niedersachsen, Deutschland;positive
