name_matching;username;available;created_at;full_text;retweet_count;favorite_count;followers_count;location;topic;label;from;to
Oliver Krischer;Oliver_Krischer;TRUE;2020-02-07T23:57:48Z;Es laeuft wie immer: Wenn es konkret wird, interveniert die Bundesregierung in Bruessel allen Bekenntnissen zum Trotz GEGEN ambitionierten Klimaschutz. Genau wegen dieser Politik hatten wir den waermsten Januar und in der Antarktis gerade ueber 18 Grad C;177;516;13159;RegionAachen/NRW/Berlin;Klimaschutz;negative;140;150
Konstantin Kuhle;konstantinkuhle;TRUE;2020-05-06T08:53:57Z;Bonhoeffer wurde am 9. 4. 1945 ermordet. Anne Frank wenige Wochen zuvor. Vielen Menschen waere der Tod erspart geblieben, wenn Nazi-Deutschland seine Gestaltungsmoeglichkeit ein paar Wochen frueher verloren haette. Die AfD steht in der Tradition der dunkelsten Stunde Deutschlands.;252;1551;25494;Göttingen/Berlin;AfD;negative;220;222
Anke Domscheit-Berg;anked;TRUE;2020-09-07T19:19:24Z;Niemand wird wohl im Ernst glauben, dass Assange einen fairen Prozess bekaeme. Hier soll ein Exempel statuiert werden, um Journalist:innen, Publizist:innen u ihre Quellen einzuschuechtern. Ein Praezedenzfall, der die Pressefreiheit an ihrem Fundament angreift. Das darf nicht sein!;15;62;37801;Germany;Assange;negative;42;48
Lars Klingbeil;larsklingbeil;TRUE;2019-06-04T09:54:27Z;Die @spdde ist die mitgliederstaerkste Partei  lasst uns die Staerke nutzen. Ich freue mich, wenn sich moeglichst viele Mitglieder einbringen  wir den besten Weg finden, den Vorsitz neu zu besetzen. Die naechste Zeit kann fuer alle SozialdemokratInnen richtig spannend werden.;44;333;71386;Munster, Niedersachsen, D;Mitglieder;positive;121;130
Karl Lauterbach;karl_lauterbach;TRUE;2020-06-12T19:54:34Z;Den Pandemie-Notfall fuer beendet zu erklaeren waere Fehler. Es setzt falsches Signal, wir haetten das Virus schon besiegt. Davon kann aber leider keine Rede sein. Fruehestens mit der Impfung ist der Spuk zu Ende. Mit jedem falschen Signal waechst der Leichtsinn;336;2265;268502;Berlin, Deutschland;Pandemie-Notfall;negative;5;20
Karl Lauterbach;karl_lauterbach;TRUE;2019-04-16T20:09:30Z;Eine solche Tragoedie bestuerzt alle Weltreligionen, die sich ja sofort solidarisch erklaert haben. Jede Tragoedie ist aber offenbar fuer die AfD eine Gelegenheit, Abendland gegen andere zu spalten. Die Reaktion auf den Brand ist zum Glueck ein Zeichen des Zusammenhalts in Europa.;1;72;268502;Berlin, Deutschland;AfD;negative;143;145
Annalena Baerbock;ABaerbock;TRUE;2020-08-26T13:51:15Z;Es ist unwuerdig, dass die GroKo seit 2013 bei der  Wahlrechtsreform nichts hinbekommen hat und auf den letzten Metern eine Scheinloesung vorlegt. Es schadet demokratischer Politik, wenn @cducsubt fuer eigene Vorteile kaempfen anstatt im Gesamtinteresse des Landes zu handeln.;90;807;94139;Brandenburg;Wahlrechtsreform;negative;53;68
Jens Spahn;jensspahn;TRUE;2019-06-29T10:59:08Z;Was fuer ein toller Parteitag der  @cdukreisborken heute in Bocholt! Ich danke allen Delegierten fuer das grosse Vertrauen und die Wiederwahl mit dem schoenen Ergebnis von 99,4 Prozent. Lasst uns die vor uns liegenden Aufgaben mit Zuversicht gemeinsam angehen.;5;57;186823;Berlin;Parteitag;positive;21;29
Johannes Vogel;johannesvogel;TRUE;2020-01-06T11:43:17Z;Es ist ein beschaemender Mangel an Fairness, dass unser Sozialstaat diejenigen behindert, die aus der Beduerftigkeit heraus wachsen wollen. @c_lindner fordert zurecht, die Zuverdienstegeln bei Hartz IV endlich zu reformieren! Auch das ist eine Frage von Aufstiegschancen! 3K20;24;197;18187;Berlin / NRW;Hartz;negative;194;198
Beatrix Storch;Beatrix_vStorch;TRUE;2019-07-25T15:51:09Z;So vorhersehbar, wie armselig: Kaum ist mal eine Woche lang im Sommer Sommer, schon geht das Klimagekreische wieder los. Heiss- Klimakrise. Aber bei 17 Grad u Regen im Juli, belehrt man uns: das sei Wetter. Hat mit Klima nix zu tun. Entscheidet Euch mal, ihr Aengsteschuerer!;271;1060;59829;Berlin, Deutschland;Klimagekreische;negative;94;108
Thomas Bareiss;Thomas_Bareiss;TRUE;2020-08-21T05:18:48Z;Eine Ergaenzung zum Problem Zigarettenkippen: Ich finde es total daneben, wenn jemand seine Kippen einfach auf den Boden wirft. Oder ich hab auch schon Autofahrer gesehen, die ihren kompletten Aschenbecher einfach auf einem Parkplatz auf den Boden leeren. Schlichtweg asozial.;0;16;13012;Zollernalb-Sigmaringen;Zigarettenkippen;negative;29;44
Dietmar Bartsch;DietmarBartsch;TRUE;2019-12-04T13:03:00Z;Dass Macron am Pranger steht und nicht Kriegsherr Erdogan, sagt alles ueber die @NATO. Die Bundesregierung laesst Deutschlands engsten Partner Frankreich im Stich. Es kann nicht sein, dass Deutschland naeher bei Trump und Erdogan steht als bei der franzoesischen Regierung. NATO70;75;320;62978;"";Erdogan;negative;51;57
Peter Altmaier;peteraltmaier;TRUE;2020-09-13T17:45:06Z;Ganz grossen Glueckwunsch an NRW: Ueber 83  Prozent fuer die demokratischen Parteien der Mitte!!! Dieser Verantwortung muessen wir gemeinsam gerecht werden! Grossen Glueckwunsch auch fuer meine CDU: Ein grosser Vertrauensbeweis so vieler BuergerInnen! Ihr koennt Euch weiter auf uns verlassen!;18;231;278821;Saarlouis / Berlin;CDU;positive;195;197
Dietmar Bartsch;DietmarBartsch;TRUE;2020-07-29T12:30:57Z;Es ist gut, dass die USA beim Truppenabzug nun Naegel mit Koepfen machen. Bitte, vergesst Eure Atomwaffen nicht! Bund und Laender duerfen keine Zeit verstreichen lassen, um eine sinnvolle und nahtlose zivile Nutzung der ehemaligen US-Stuetzpunkte zu ermoeglichen.;124;696;62978;"";Truppenabzug;positive;31;42
Martina Renner;martinarenner;TRUE;2019-01-20T09:30:03Z;Wenn VS bei Vorbereitung von Straftaten wegsieht, dann ist mit Sicherheit Quellenschutz im Spiel. Und im LKA Berlin muessen endlich rechte Seilschaften ausgemacht und rausgeworfen werden. Vielleicht klappt es dann mit Strafverfolgung bei Neonazis und Schutz der Opfer. Neukoelln;63;97;19587;Berlin und Erfurt;VS;negative;6;7
Ulla Jelpke;UllaJelpke;TRUE;2020-02-28T14:36:49Z;Die hilflosen Appelle der EU, Erdogan moege bitte am Fluechtlingsdeal EU-Tuerkei festhalten, sind erbaermlich. Wie tief will die EU noch vor dem Despoten am Bosporus in die Knie gehen? Nehmt ihn beim Wort: Grenzen auf, wuerdige Aufnahme und Behandlung in der EU!;62;196;13258;Platz der Republik, Berlin;Fluechtlingsdeal;negative;54;69
Steffi Lemke;steffilemke;TRUE;2020-03-10T10:24:10Z;@C_me_on @TiloJung @JungNaiv Oh, vielen Dank!  War mit Sicherheit das schwierigste Interview seit langer Zeit und ist ein grossartiges Format, das @TiloJung @JungNaiv entwickelt haben - in hektischen Zeiten jenseits von Talkshow und 20Sekuendern Politik zu vermitteln. Thx dafuer!;9;71;14635;"";Format;positive;136;141
Karl Lauterbach;karl_lauterbach;TRUE;2020-02-09T15:55:30Z;Dass Lindner jetzt weiter Ramelow als Spalter diffamiert und Ratschlaege gibt, wer Thueringen regieren soll, zeigt: er hat nichts aus seinem Riesenfehler gelernt. Statt Demut und Groesse zu zeigen, macht er weiter Kampagne. Er spaltet selbst mehr als Ramelow;187;2048;268502;Berlin, Deutschland;Lindner;negative;6;12
Stephan Brandner;stbrandner;TRUE;2020-07-03T11:25:00Z;Unsaegliche Zustaende im Bundestag: Linke Abgeordnete lassen Chaoten ins Gebaeude, die rumbruellen, Flugblaetter werfen (gestern), sich vom Gebaeude abseilen (heute). Unser 1. PGF Baumann hat dazu gerade eine Sondersitzung des Aeltestenrat beantragt. Findet in ca. 1 Std. statt. AfD;247;885;13534;Mal hier, mal da...;Bundestag;negative;26;34
Karamba Diaby;KarambaDiaby;TRUE;2019-11-14T15:34:52Z;Ein schoener Tag fuer Halle. Die Bereinigungssitzung des Haushaltsausschusses hat beschlossen: 16,2 Mio. Euro erhaelt Halle aus Zuschuessen fuer investive Kulturmassnahmen. 2,9 Mio. Euro fuer die Moritzkirche  13,3 Mio. Euro fuer das Stadtbad Halle. Danke an @kahrs und BettinaHagedorn;9;62;49860;Halle (Saale);Kulturmassnahmen;positive;156;171
Katrin Goring-Eckardt;GoeringEckardt;TRUE;2020-10-13T14:44:34Z;Die Lage der Gefluechteten auf Lesbos bleibt so dramatisch wie nach dem Brand von vor einem Monat. Statt Feuer ist es nun der Regen, der die ohnehin prekaere Situation der Menschen nochmal verschlimmert. Die Europaeischen Staaten duerfen diese katastrophalen Zustaende nicht hinnehmen!;111;252;169508;"";Lesbos;negative;32;37
Katja Kipping;katjakipping;TRUE;2020-06-17T13:01:11Z;Wie oft noch will die Tuerkei den Nordirak bombardieren? Wie oft noch will die Bundesregierung schweigen, wenn Erdogan die jezidische und kurdische Bevoelkerung terrorisiert? Es ist nur noch beschaemend, wie wenig die Rechte der Jeziden und Kurden im Kanzleramt zaehlen.;97;496;116427;Dresden, Berlin;Tuerkei;negative;23;29
Beatrix Storch;Beatrix_vStorch;TRUE;2020-03-17T16:03:54Z;Fluechtlinge: Menschen, die Hilfe suchen und dankbar dafuer sind? Fehlanzeige. Was sind das fuer Leute, die die notwendige Quarantaene missachten und die Polizei angreifen. Helfen sollten wir in der Welt den Armen  Schwachen und nicht den Gewalttaetigen. Suhl;324;1159;59829;Berlin, Deutschland;Fluechtlinge;negative;1;12
Bernd Riexinger;b_riexinger;TRUE;2020-01-16T11:47:09Z;So wird das nichts mit den Klimazielen. Das Jahr 2038 fuer den Kohleausstieg ist zu spaet. Weitere Subventionen in Milliardenhoehe sind auch eher ein unnoetiges Wahlgeschenk von Scholz an die Kohleindustrie. Die Mitarbeiter und der Klimaschutz haben nichts davon.;13;92;37381;"";Kohleausstieg;negative;64;76
Karl Lauterbach;karl_lauterbach;TRUE;2020-08-14T10:42:18Z;(2) RT-LAMB Test als SchnellPCR, in UK schon zugelassen, bringt Testergebnisse mit sehr guter Sensitivitaet in 75 min. Ist fuer weniger als 10 durchfuehrbar, weniger Reagenzien, nicht auf Labore angewiesen. Auch sind mittlerweile Antigen-Tests zum Selbsttesten kurz vor Zulassung;22;166;268502;Berlin, Deutschland;SchnellPCR;positive;22;31
Karl Lauterbach;karl_lauterbach;TRUE;2020-07-20T13:27:31Z;USA steuern auf menschliche Katastrophe zu. Taeglich sterben schon etwa 1.000 an Covid-19. Das Rettungspaket der Wirtschaft laeuft aus obwohl die Pandemie noch unkontrolliert. Wegen laufender Kredite und Rechnungen muessen bald viele in riskante Arbeit zurueck, was Pandemie verstaerkt;232;1431;268502;Berlin, Deutschland;Covid-19;negative;82;89
Karl Lauterbach;karl_lauterbach;TRUE;2020-02-19T12:55:15Z;Das Verhalten der CDU beschaedigt das Ansehen der Partei. Ein so transparentes Gerangel um Mandate und Macht, einschliesslich des verlogenen Paktes mit der AfD, muss aus Berlin beendet werden. Das hatte die CDU im Koalitionsausschuss zugesagt und muss sein;69;586;268502;Berlin, Deutschland;CDU;negative;19;21
Sven-Christian Kindler;sven_kindler;TRUE;2020-02-07T08:05:59Z;Die CDU Thueringen paktiert erst mit Faschisten und dann blockiert sie Neuwahlen, weil sie Angst vor der Bevoelkerung hat. Und @akk und die Bundes-CDU stehen hilflos daneben und machen gute Miene. Wahnsinn, wie zerrissen die CDU ist. Die Huette brennt. Lichterloh.;37;201;15868;Hannover, Deutschland;CDU;negative;5;7
Beatrix Storch;Beatrix_vStorch;TRUE;2019-10-27T17:40:53Z;Herzliche Glueckwunsch nach Thueringen: Die AfD holt den 3. grossen Wahlerfolg 2019. Osten ist Hochburg mit einer treuen Waehlerschaft von klar ueber 20  Prozent. Ohne AfD gibt es im Osten keine stabilen Mehrheiten. Jetzt Koalition: Linke und CDU? Go for it!  Thueringenwahl ltwth19;252;1424;59829;Berlin, Deutschland;AfD;positive;45;47
Paul Ziemiak;PaulZiemiak;TRUE;2019-11-22T17:46:30Z;Ich moechte mich bei allen Mitarbeitern im KAH bedanken. Ihr habt alle zusammen unermuedlichen Einsatz  Leidenschaft gezeigt. Ich freue mich auf alles, was wir gemeinsam noch im gesamten Team bewegen werden. Ich weiss heute: Es wird gut! cdupt19;1;25;37629;Germany;Einsatz;positive;96;102
